Time,Voltage,Force
7.172,1.3469,4.731
7.199,1.3497,4.675
7.232,1.3673,4.315
7.272,1.3757,4.143
7.318,1.3654,4.353
7.361,1.4094,3.444
7.386,1.4719,2.126
7.443,1.4813,1.925
7.469,1.5048,1.419
7.497,1.4427,2.747
7.531,1.4449,2.699
7.556,1.4223,3.175
7.585,1.4677,2.216
7.619,1.4404,2.794
7.649,1.5125,1.252
7.682,1.4353,2.902
7.725,1.5114,1.276
7.756,1.4615,2.347
7.781,1.4265,3.086
7.807,1.4989,1.546
7.840,1.4687,2.195
7.863,1.5102,1.303
7.887,1.4855,1.834
7.917,1.4365,2.876
7.940,1.4384,2.837
7.968,1.4874,1.794
7.998,1.4243,3.133
8.026,1.4515,2.559
8.060,1.4599,2.381
8.100,1.4672,2.227
8.126,1.5054,1.406
8.153,1.4850,1.845
8.189,1.4780,1.995
8.218,1.4315,2.981
8.241,1.4428,2.744
8.281,1.4510,2.570
8.316,1.4560,2.464
8.339,1.4258,3.102
8.371,1.4933,1.668
8.395,1.4428,2.744
8.424,1.5122,1.260
8.454,1.4775,2.006
8.478,1.4340,2.929
8.503,1.4429,2.742
8.535,1.4625,2.326
8.565,1.5029,1.460
8.590,1.5043,1.430
8.623,1.4659,2.254
8.650,1.5092,1.325
8.674,1.4859,1.826
8.704,1.4820,1.909
8.728,1.5133,1.235
8.752,1.4702,2.163
8.778,1.4243,3.133
8.803,1.4463,2.670
8.826,1.4994,1.536
8.853,1.4938,1.657
8.878,1.4353,2.902
8.939,1.4194,3.236
8.969,1.4595,2.389
8.993,1.3959,3.725
9.023,1.3997,3.647
9.051,1.3993,3.655
9.078,1.3400,4.871
9.109,1.4148,3.332
9.140,1.3767,4.123
9.174,1.3672,4.318
9.199,1.3763,4.130
9.240,1.4182,3.262
9.272,1.4679,2.211
9.296,1.4252,3.115
9.325,1.4468,2.660
9.360,1.4553,2.480
9.390,1.5019,1.482
9.421,1.4270,3.076
9.454,1.4907,1.724
9.492,1.4783,1.990
9.530,1.4860,1.823
9.573,1.4628,2.320
9.599,1.4299,3.015
9.630,1.4979,1.568
9.673,1.4935,1.662
9.705,1.4745,2.070
9.733,1.4424,2.752
9.766,1.5085,1.338
9.805,1.5069,1.373
9.832,1.4652,2.270
