Time,Voltage,Force
0.037,1.4668,2.235
0.074,1.4739,2.083
0.098,1.5129,1.243
0.123,1.4849,1.848
0.148,1.4384,2.837
0.169,1.4427,2.747
0.192,1.4348,2.913
0.218,1.5138,1.224
0.242,1.4620,2.336
0.272,1.4275,3.065
0.312,1.4284,3.047
0.338,1.4752,2.056
0.362,1.5128,1.246
0.389,1.4347,2.916
0.417,1.4873,1.797
0.439,1.5144,1.211
0.476,1.4469,2.657
0.499,1.4999,1.525
0.522,1.5093,1.322
0.564,1.5032,1.455
0.593,1.4725,2.112
0.623,1.5122,1.260
0.654,1.4330,2.950
0.676,1.4869,1.805
0.702,1.5152,1.195
0.738,1.5148,1.203
0.763,1.4652,2.270
0.785,1.5103,1.300
0.830,1.4282,3.052
0.858,1.4695,2.176
0.881,1.5115,1.273
0.911,1.4319,2.973
0.937,1.4849,1.848
0.960,1.5149,1.200
0.986,1.4734,2.094
1.024,1.4662,2.248
1.050,1.4297,3.021
1.073,1.4598,2.384
1.105,1.4539,2.509
1.128,1.4285,3.044
1.157,1.4755,2.048
1.179,1.5149,1.200
1.202,1.4840,1.866
1.227,1.4364,2.879
1.266,1.4335,2.939
1.292,1.4494,2.604
1.316,1.5019,1.482
1.363,1.4538,2.511
1.388,1.4290,3.034
1.413,1.4753,2.054
1.458,1.4815,1.920
1.503,1.4778,2.000
1.548,1.4693,2.182
1.587,1.4620,2.336
1.613,1.4294,3.026
1.671,1.4488,2.617
1.694,1.4304,3.005
1.722,1.4872,1.799
1.745,1.4393,2.818
1.767,1.4795,1.963
1.791,1.4340,2.929
1.820,1.5137,1.227
1.845,1.4637,2.302
1.876,1.5034,1.449
1.898,1.4638,2.299
1.921,1.5088,1.333
1.944,1.4972,1.584
1.967,1.4457,2.683
1.990,1.4327,2.958
2.012,1.4415,2.771
2.035,1.4393,2.818
2.060,1.4922,1.692
2.087,1.5137,1.227
2.110,1.4657,2.259
2.133,1.4290,3.034
2.167,1.5050,1.414
2.189,1.4510,2.570
2.212,1.4287,3.042
2.239,1.4763,2.032
2.266,1.4415,2.771
2.290,1.4364,2.879
2.315,1.4900,1.737
2.343,1.5137,1.227
2.368,1.4672,2.227
2.393,1.4289,3.036
2.434,1.4282,3.052
2.460,1.4993,1.538
2.503,1.4914,1.708
2.537,1.4825,1.898
2.570,1.4375,2.855
2.594,1.4412,2.779
2.617,1.4959,1.611
2.640,1.5112,1.281
2.676,1.4569,2.445
2.698,1.5063,1.387
2.721,1.5014,1.492
2.744,1.5103,1.300
2.769,1.4318,2.976
2.793,1.4428,2.744
2.820,1.5143,1.214
2.847,1.4787,1.981
2.870,1.4333,2.944
2.899,1.4482,2.631
2.938,1.4563,2.458
2.982,1.5023,1.473
3.018,1.4734,2.094
3.041,1.5118,1.268
3.080,1.5133,1.235
3.102,1.4802,1.949
3.130,1.5145,1.208
3.153,1.4470,2.654
3.178,1.4978,1.571
3.202,1.5089,1.330
3.225,1.4572,2.440
3.249,1.4283,3.050
3.304,1.5115,1.273
3.327,1.4885,1.770
3.355,1.4843,1.861
3.378,1.4390,2.823
3.401,1.4913,1.711
3.438,1.4969,1.589
3.462,1.5114,1.276
3.486,1.4583,2.416
3.513,1.4279,3.057
3.554,1.4288,3.039
3.588,1.4913,1.711
3.612,1.4404,2.794
3.648,1.4357,2.894
3.674,1.4440,2.718
3.700,1.4953,1.624
3.730,1.4288,3.039
3.752,1.4602,2.376
3.775,1.4284,3.047
3.801,1.4673,2.224
3.834,1.4758,2.043
3.860,1.5137,1.227
3.891,1.4353,2.902
3.914,1.4387,2.831
3.948,1.5130,1.241
3.972,1.4485,2.623
3.994,1.4304,3.005
4.017,1.4572,2.440
4.048,1.4538,2.511
4.089,1.4483,2.628
4.121,1.5123,1.257
4.146,1.4849,1.848
4.171,1.4380,2.844
4.194,1.4397,2.810
4.220,1.4953,1.624
4.242,1.5117,1.271
4.267,1.4633,2.310
4.292,1.4275,3.065
4.318,1.4628,2.320
4.341,1.5078,1.355
4.366,1.4948,1.635
4.395,1.4785,1.984
4.419,1.4340,2.929
4.443,1.4864,1.815
4.472,1.4348,2.913
4.495,1.4468,2.660
4.519,1.4985,1.554
4.547,1.5090,1.327
4.575,1.4628,2.320
4.598,1.5077,1.357
4.633,1.4285,3.044
4.656,1.4785,1.984
4.680,1.5130,1.241
4.711,1.4365,2.876
4.737,1.4920,1.694
4.760,1.5128,1.246
4.791,1.4654,2.264
4.814,1.4295,3.023
4.844,1.5044,1.428
4.889,1.4978,1.571
4.925,1.4909,1.719
4.956,1.4840,1.866
4.980,1.5140,1.219
5.007,1.4750,2.059
5.030,1.4314,2.984
5.060,1.4500,2.591
5.083,1.5023,1.473
5.111,1.5065,1.382
5.142,1.4990,1.544
5.168,1.4469,2.657
5.197,1.4303,3.008
5.229,1.4835,1.877
5.252,1.4374,2.858
5.278,1.4417,2.768
5.310,1.4678,2.214
5.334,1.4305,3.002
5.357,1.4569,2.445
5.389,1.4532,2.525
5.413,1.4289,3.036
5.436,1.4733,2.096
5.470,1.4418,2.765
5.493,1.4348,2.913
5.519,1.4873,1.797
5.551,1.4322,2.968
5.578,1.4475,2.644
5.607,1.4993,1.538
5.639,1.5034,1.449
5.682,1.4274,3.068
5.718,1.4297,3.021
5.747,1.4870,1.802
5.795,1.4397,2.810
5.823,1.4933,1.668
5.853,1.4297,3.021
5.879,1.4550,2.485
5.918,1.4622,2.334
5.954,1.4710,2.144
5.983,1.5122,1.260
6.009,1.4887,1.767
6.032,1.4398,2.808
6.055,1.4380,2.844
6.080,1.4928,1.678
6.112,1.4312,2.989
6.142,1.5102,1.303
6.177,1.4603,2.373
6.201,1.5083,1.344
6.232,1.4284,3.047
6.278,1.4325,2.960
6.302,1.4848,1.850
6.334,1.4347,2.916
6.357,1.4435,2.728
6.386,1.4664,2.243
6.416,1.4274,3.068
6.442,1.5064,1.384
6.465,1.5072,1.368
6.500,1.5110,1.284
6.533,1.4937,1.659
6.557,1.4740,2.080
6.585,1.5407,0.638
6.611,1.4994,1.536
6.635,1.4107,3.418
6.665,1.5482,0.474
6.688,1.4643,2.288
6.711,1.3932,3.782
6.736,1.4514,2.562
6.769,1.4367,2.873
6.801,1.5408,0.636
6.824,1.5035,1.446
6.847,1.5455,0.532
6.872,1.3893,3.862
6.900,1.4679,2.211
6.932,1.3578,4.509
6.964,1.5030,1.457
6.987,1.3843,3.965
7.029,1.3654,4.353
7.065,1.4287,3.042
7.095,1.3085,5.505
7.144,1.4698,2.171
7.168,1.4137,3.356
7.198,1.4519,2.551
7.222,1.4842,1.864
7.246,1.4624,2.328
7.282,1.4660,2.251
7.329,1.4887,1.767
7.355,1.3669,4.323
7.384,1.4658,2.256
7.409,1.5333,0.800
7.440,1.4049,3.538
7.470,1.4989,1.546
7.496,1.3918,3.810
7.520,1.4340,2.929
7.550,1.4407,2.789
7.576,1.3917,3.813
7.602,1.4683,2.203
7.633,1.4240,3.139
7.660,1.4014,3.611
7.683,1.4960,1.608
7.710,1.4020,3.598
7.740,1.4227,3.168
7.771,1.4629,2.318
7.798,1.3924,3.798
7.822,1.4504,2.583
7.856,1.4649,2.275
7.879,1.3923,3.800
7.907,1.5074,1.363
7.937,1.4913,1.711
7.986,1.4789,1.976
8.016,1.3983,3.676
8.050,1.5430,0.586
8.084,1.4498,2.596
8.114,1.4387,2.831
8.153,1.4283,3.050
8.177,1.3979,3.684
8.207,1.4954,1.622
8.243,1.5038,1.441
8.271,1.3992,3.658
8.327,1.5263,0.953
8.351,1.5348,0.767
8.385,1.5249,0.983
8.416,1.4272,3.073
8.440,1.3947,3.751
8.469,1.4972,1.584
8.496,1.4080,3.473
8.521,1.4152,3.324
8.549,1.4679,2.211
8.580,1.5257,0.966
8.609,1.5379,0.699
8.637,1.4582,2.419
8.676,1.4285,3.044
8.719,1.4863,1.818
8.758,1.4100,3.431
8.793,1.4005,3.629
8.816,1.4232,3.157
8.868,1.5229,1.026
8.910,1.5142,1.216
8.935,1.4088,3.457
8.964,1.5058,1.398
9.000,1.3490,4.688
9.033,1.4210,3.202
9.061,1.4063,3.509
9.084,1.4449,2.699
9.118,1.3644,4.374
9.141,1.4538,2.511
9.167,1.4680,2.208
9.196,1.4143,3.343
9.230,1.5308,0.854
9.261,1.3953,3.738
9.290,1.4904,1.729
9.348,1.5470,0.499
9.371,1.4620,2.336
9.427,1.5337,0.792
9.451,1.4365,2.876
9.478,1.3924,3.798
9.517,1.4333,2.944
9.559,1.4413,2.776
9.601,1.4483,2.628
9.658,1.4274,3.068
9.696,1.4270,3.076
9.754,1.4423,2.755
9.785,1.5152,1.195
9.809,1.4769,2.019
9.839,1.4932,1.670
9.881,1.4960,1.608
9.923,1.5043,1.430
9.968,1.5088,1.333
10.004,1.5129,1.243
10.059,1.4858,1.829
10.093,1.4355,2.897
10.116,1.4462,2.673
10.154,1.4632,2.312
10.178,1.4290,3.034
10.207,1.5029,1.460
10.232,1.4494,2.604
10.259,1.4282,3.052
10.287,1.4890,1.759
10.312,1.4379,2.847
10.339,1.4374,2.858
10.364,1.4910,1.716
10.391,1.5132,1.238
10.418,1.4653,2.267
10.450,1.4567,2.450
10.500,1.4683,2.203
10.529,1.5112,1.281
10.553,1.4903,1.732
10.581,1.4833,1.882
10.612,1.4365,2.876
10.653,1.4319,2.973
10.697,1.4300,3.013
10.750,1.4525,2.538
10.774,1.4299,3.015
10.799,1.4750,2.059
10.834,1.4410,2.781
10.864,1.5147,1.205
10.888,1.4758,2.043
10.915,1.4328,2.955
10.955,1.4297,3.021
10.985,1.4582,2.419
11.009,1.4538,2.511
11.039,1.4292,3.031
11.069,1.4937,1.659
11.123,1.4360,2.887
11.153,1.4767,2.024
11.209,1.5129,1.243
11.236,1.4617,2.344
11.265,1.5034,1.449
11.300,1.4280,3.055
11.333,1.4948,1.635
11.367,1.4864,1.815
11.395,1.4383,2.839
11.435,1.4344,2.921
11.464,1.4459,2.678
11.499,1.4537,2.514
11.526,1.5042,1.433
11.554,1.4274,3.068
11.603,1.5099,1.308
11.650,1.5137,1.227
11.675,1.4804,1.944
11.735,1.4312,2.989
11.785,1.5020,1.479
11.817,1.4287,3.042
11.849,1.4982,1.562
11.901,1.4325,2.960
11.929,1.4818,1.915
11.962,1.4897,1.745
11.991,1.5143,1.214
12.016,1.4659,2.254
12.059,1.4585,2.411
12.089,1.5050,1.414
12.113,1.4983,1.560
12.148,1.4910,1.716
12.185,1.4830,1.888
12.235,1.4758,2.043
12.274,1.4679,2.211
12.317,1.4618,2.342
12.344,1.5048,1.419
12.372,1.4998,1.527
12.405,1.4737,2.088
12.456,1.4848,1.850
12.489,1.4772,2.014
12.516,1.4352,2.905
12.572,1.4628,2.320
12.597,1.4274,3.068
12.629,1.5010,1.500
12.659,1.4722,2.120
12.686,1.5123,1.257
12.719,1.4330,2.950
12.747,1.4869,1.805
12.772,1.5139,1.222
12.802,1.4459,2.678
12.843,1.4542,2.504
12.882,1.4629,2.318
12.915,1.4509,2.572
12.957,1.4442,2.715
12.981,1.4332,2.947
13.043,1.4895,1.748
13.078,1.4297,3.021
13.129,1.5010,1.500
13.157,1.4272,3.073
13.185,1.4672,2.227
13.216,1.4435,2.728
13.249,1.5128,1.246
13.302,1.4877,1.788
13.339,1.4313,2.987
13.363,1.4507,2.578
13.393,1.4583,2.416
13.427,1.5058,1.398
13.475,1.4473,2.649
13.511,1.5140,1.219
13.541,1.4348,2.913
13.573,1.4745,2.070
