Time,Voltage,Force
0.020,1.4620,2.336
0.076,1.4899,1.740
0.108,1.4680,2.208
0.143,1.4445,2.707
0.166,1.4407,2.789
0.190,1.4817,1.917
0.213,1.5010,1.500
0.235,1.4873,1.797
0.257,1.4994,1.536
0.285,1.4588,2.405
0.310,1.4350,2.908
0.334,1.4880,1.780
0.360,1.4488,2.617
0.389,1.4383,2.839
0.432,1.5003,1.517
0.454,1.4825,1.898
0.476,1.4992,1.541
0.498,1.4619,2.339
0.521,1.4978,1.571
0.545,1.4615,2.347
0.569,1.4965,1.598
0.592,1.4692,2.184
0.614,1.4982,1.562
0.636,1.4810,1.931
0.664,1.4448,2.702
0.714,1.4862,1.821
0.741,1.4379,2.847
0.763,1.4609,2.360
0.808,1.4627,2.323
0.834,1.4970,1.587
0.859,1.4838,1.872
0.884,1.4442,2.715
0.921,1.4420,2.760
0.950,1.4473,2.649
1.000,1.4365,2.876
1.022,1.4599,2.381
1.051,1.4353,2.902
1.073,1.4909,1.719
1.098,1.5017,1.487
1.129,1.4390,2.823
1.151,1.4804,1.944
1.173,1.5032,1.455
1.209,1.4478,2.639
1.242,1.4612,2.355
1.274,1.4943,1.646
1.304,1.4324,2.963
1.332,1.4685,2.198
1.364,1.4445,2.707
1.392,1.5035,1.446
1.415,1.4723,2.118
1.445,1.4359,2.889
1.483,1.4347,2.916
1.505,1.4570,2.443
1.527,1.4313,2.987
1.556,1.4922,1.692
1.578,1.4469,2.657
1.618,1.5032,1.455
1.660,1.5042,1.433
1.684,1.4438,2.723
1.711,1.4890,1.759
1.734,1.5013,1.495
1.756,1.4557,2.472
1.792,1.4997,1.530
1.814,1.4913,1.711
1.838,1.5047,1.422
1.867,1.4325,2.960
1.905,1.4393,2.818
1.931,1.4879,1.783
1.981,1.4615,2.347
2.004,1.4292,3.031
2.037,1.4948,1.635
2.059,1.4488,2.617
2.083,1.4315,2.981
2.107,1.4783,1.990
2.140,1.4388,2.829
2.166,1.4424,2.752
2.202,1.4637,2.302
2.224,1.4314,2.984
2.246,1.4580,2.421
2.272,1.5007,1.509
2.315,1.5038,1.441
2.347,1.4324,2.963
2.369,1.4793,1.968
2.406,1.4848,1.850
2.442,1.4305,3.002
2.471,1.5005,1.511
2.509,1.4584,2.413
2.533,1.5004,1.514
2.575,1.5034,1.449
2.598,1.4809,1.933
2.621,1.4369,2.868
2.650,1.5057,1.400
2.680,1.4653,2.267
2.717,1.4579,2.424
