Time,Voltage,Force
0.021,1.4954,1.622
0.044,1.4767,2.024
0.073,1.4395,2.813
0.096,1.4404,2.794
0.126,1.4639,2.296
0.158,1.4853,1.839
0.181,1.4939,1.654
0.207,1.4524,2.541
0.230,1.4338,2.934
0.256,1.4675,2.219
0.293,1.4722,2.120
0.324,1.4969,1.589
0.354,1.4423,2.755
0.376,1.4840,1.866
0.399,1.4947,1.638
0.440,1.4904,1.729
0.464,1.4510,2.570
0.487,1.4857,1.831
0.509,1.4474,2.646
0.548,1.4412,2.779
0.575,1.4392,2.821
0.599,1.4803,1.947
0.634,1.4342,2.926
0.666,1.4929,1.676
0.691,1.4513,2.564
0.716,1.4922,1.692
0.753,1.4337,2.937
0.777,1.4713,2.139
0.808,1.4403,2.797
0.848,1.4365,2.876
0.872,1.4464,2.668
0.904,1.4573,2.437
0.931,1.4345,2.918
0.983,1.4944,1.643
1.006,1.4812,1.928
1.031,1.4424,2.752
1.057,1.4984,1.557
1.080,1.4782,1.992
1.103,1.4968,1.592
1.140,1.4492,2.609
1.169,1.4557,2.472
1.191,1.4308,2.997
1.216,1.4638,2.299
1.240,1.4952,1.627
1.269,1.4329,2.952
1.292,1.4389,2.826
1.314,1.4340,2.929
1.341,1.4654,2.264
1.363,1.4989,1.546
1.385,1.4590,2.400
1.421,1.4903,1.732
1.452,1.4314,2.984
1.474,1.4653,2.267
1.501,1.4985,1.554
1.537,1.4995,1.533
1.583,1.4957,1.616
1.624,1.4948,1.635
1.677,1.4917,1.702
1.711,1.4303,3.008
1.745,1.4837,1.874
1.785,1.4762,2.035
1.807,1.4362,2.884
1.844,1.5007,1.509
1.866,1.4619,2.339
1.890,1.4303,3.008
1.915,1.4563,2.458
1.950,1.4495,2.602
1.983,1.4445,2.707
2.005,1.4813,1.925
2.032,1.4760,2.038
2.065,1.4342,2.926
2.087,1.4654,2.264
2.120,1.4874,1.794
2.152,1.4285,3.044
2.183,1.4933,1.668
2.226,1.4875,1.791
2.255,1.4729,2.104
2.288,1.4344,2.921
2.315,1.4368,2.871
2.337,1.4849,1.848
2.362,1.5018,1.484
2.396,1.4510,2.570
2.418,1.4953,1.624
2.462,1.4999,1.525
2.508,1.4380,2.844
2.542,1.5047,1.422
2.591,1.4289,3.036
2.647,1.4528,2.533
2.669,1.4257,3.105
2.696,1.4623,2.331
2.719,1.5008,1.506
2.758,1.5043,1.430
2.780,1.4735,2.091
2.811,1.4310,2.992
2.842,1.5045,1.425
2.878,1.4493,2.607
2.919,1.4953,1.624
2.944,1.4450,2.697
2.978,1.5020,1.479
3.000,1.4810,1.931
3.028,1.4353,2.902
3.061,1.5047,1.422
3.093,1.4435,2.728
3.121,1.4562,2.461
3.170,1.4607,2.366
3.195,1.4255,3.107
3.233,1.4265,3.086
3.270,1.4319,2.973
3.303,1.4688,2.192
3.326,1.4280,3.055
3.351,1.4458,2.681
3.373,1.4920,1.694
3.402,1.4960,1.608
3.436,1.4622,2.334
3.492,1.4274,3.068
3.515,1.4775,2.006
3.537,1.5045,1.425
3.574,1.4398,2.808
3.596,1.4899,1.740
3.620,1.4999,1.525
3.654,1.4559,2.466
3.679,1.4995,1.533
3.701,1.4874,1.794
3.723,1.4409,2.784
3.747,1.4304,3.005
3.769,1.4347,2.916
3.801,1.5044,1.428
3.823,1.4639,2.296
3.848,1.4265,3.086
3.891,1.4250,3.118
3.918,1.4935,1.662
3.941,1.5002,1.519
3.974,1.5032,1.455
4.002,1.4782,1.992
4.024,1.4327,2.958
4.047,1.4685,2.198
4.069,1.4280,3.055
4.099,1.5013,1.495
4.121,1.4552,2.482
4.152,1.4245,3.128
4.178,1.4632,2.312
4.200,1.5014,1.492
4.231,1.4278,3.060
4.254,1.4775,2.006
4.278,1.5043,1.430
4.314,1.4402,2.800
4.345,1.4594,2.392
4.367,1.4250,3.118
4.399,1.4560,2.464
4.429,1.4449,2.699
4.451,1.4259,3.099
4.477,1.4718,2.128
4.502,1.4353,2.902
4.524,1.4709,2.147
4.560,1.4619,2.339
4.582,1.5020,1.479
4.604,1.4559,2.466
4.638,1.4949,1.633
4.667,1.4258,3.102
4.689,1.4428,2.744
4.723,1.4369,2.868
