Time,Voltage,Force
0.006,1.4668,2.235
0.047,1.4695,2.176
0.089,1.4745,2.070
0.113,1.5014,1.492
0.136,1.4799,1.955
0.163,1.4454,2.689
0.185,1.4514,2.562
0.210,1.4917,1.702
0.234,1.5020,1.479
0.257,1.4605,2.368
0.280,1.4963,1.603
0.310,1.4695,2.176
0.332,1.5015,1.490
0.354,1.4839,1.869
0.393,1.4815,1.920
0.424,1.4432,2.736
0.446,1.4539,2.509
0.484,1.4588,2.405
0.506,1.4424,2.752
0.529,1.4705,2.155
0.561,1.4570,2.443
0.585,1.4424,2.752
0.609,1.4799,1.955
0.647,1.4837,1.874
0.685,1.4422,2.757
0.730,1.4922,1.692
0.772,1.4963,1.603
0.795,1.4922,1.692
0.823,1.4520,2.549
0.854,1.5027,1.465
0.876,1.4797,1.960
0.904,1.4437,2.726
0.934,1.5030,1.457
0.956,1.4673,2.224
0.985,1.4400,2.802
1.022,1.4397,2.810
1.048,1.4733,2.096
1.074,1.5047,1.422
1.096,1.4883,1.775
1.119,1.4500,2.591
1.147,1.4503,2.586
1.169,1.4925,1.684
1.197,1.5083,1.344
1.219,1.4707,2.152
1.275,1.5000,1.522
1.297,1.4598,2.384
1.324,1.4433,2.734
1.360,1.4849,1.848
1.383,1.4485,2.623
1.451,1.4569,2.445
1.476,1.4653,2.267
1.501,1.5020,1.479
1.539,1.4985,1.554
1.580,1.4914,1.708
1.625,1.4478,2.639
1.668,1.4504,2.583
1.694,1.4945,1.641
1.716,1.5055,1.403
1.741,1.4620,2.336
1.789,1.4740,2.080
1.812,1.5092,1.325
1.843,1.4408,2.786
1.874,1.4814,1.923
1.896,1.5112,1.281
1.928,1.4512,2.567
1.951,1.4984,1.557
1.982,1.4349,2.910
2.008,1.4663,2.246
2.030,1.5070,1.371
2.053,1.4938,1.657
2.077,1.4469,2.657
2.099,1.4849,1.848
2.137,1.4774,2.008
2.175,1.4664,2.243
2.209,1.4949,1.633
2.244,1.4298,3.018
2.265,1.4634,2.307
2.295,1.5052,1.411
2.319,1.4873,1.797
2.345,1.4785,1.984
2.379,1.4328,2.955
2.404,1.4424,2.752
2.436,1.4640,2.294
2.464,1.4309,2.994
2.486,1.4592,2.397
2.510,1.5023,1.473
2.548,1.4300,3.013
2.580,1.4847,1.853
2.605,1.4400,2.802
2.636,1.5093,1.322
2.658,1.4698,2.171
2.682,1.4328,2.955
2.714,1.5042,1.433
2.736,1.4558,2.469
2.767,1.4318,2.976
