Time (s),Voltage (V),Force (N)
0.008168458938598633,1.4539193700979645,0.45906517574388866
0.8469333648681641,1.4721699270607624,0.3355289807184056
1.2730164527893066,1.4689198278756064,0.3575285770928099
1.6539247035980225,1.4947956175420394,0.1823779444196912
2.0370779037475586,1.452169316690573,0.4709111122531816
2.3512892723083496,1.4939205908383435,0.18830091267433877
2.5883336067199707,1.4721699270607624,0.3355289807184056
2.805586576461792,1.4704198736533707,0.3473749172277007
3.0182974338531494,1.4702948698385572,0.3482210555497926
3.2643063068389893,1.4895454573198645,0.21791575394757007
3.519432306289673,1.451794305246132,0.47344952721945943
3.745208501815796,1.487420392468032,0.2323001054231387
3.993070363998413,1.49379558702353,0.18914705099642848
4.270960092544556,1.4900454725791192,0.21453120065920034
4.551454305648804,1.49379558702353,0.18914705099642848
4.856808185577393,1.4484192022461622,0.4962952619159546
5.157480001449585,1.4519193090609455,0.4726033888973675
5.484341859817505,1.488545426801355,0.22468486052430953
5.710780143737793,1.4731699575792718,0.3287598741416683
5.929032564163208,1.4827952513199256,0.263607223340556
6.1485607624053955,1.4431690420239875,0.5318330714438323
6.3557515144348145,0.8781517990661336,4.35637828730125
6.56719970703125,0.979404889065218,3.671006246406446
6.786263465881348,0.8930272530289621,4.25568782697226
7.004287481307983,0.9765298013245034,3.6904674278145704
7.2279441356658936,1.0065307168797875,3.4873942305124075
7.495342493057251,1.0777828913235878,3.005095386919767
7.794662237167358,1.07140769676809,3.048248441346477
8.122337818145752,1.0940333872493668,2.895097405047762
8.408928394317627,1.1341596118045596,2.623487003656118
8.644819498062134,1.1770359202856533,2.333261559178443
8.889299869537354,1.1600354014709922,2.4483363709830024
9.11590027809143,1.0921583300271616,2.907789479879147
9.400808572769165,1.1130339671010467,2.7664843800897265
9.62496829032898,1.0842830896938993,2.961096194170966
9.86671257019043,1.1019086275826289,2.8417906907559445
10.077787399291992,1.0760328379161963,3.01694132342906
10.306391954421997,1.1420348521378216,2.5701802893643007
10.525434732437134,1.0626574297311318,3.1074781238929434
10.752176523208618,1.131659535508286,2.6404097700979645
11.012161254882812,1.1725357829523606,2.363722538773767
11.270241975784302,1.167160618915372,2.40010648662374
11.610501050949097,1.484545304727317,0.2517612868312652
11.86546015739441,1.517796319467757,0.026688493154701176
12.111202001571655,1.5167962889492477,0.03345759973143845
12.357690811157227,1.482295236060671,0.26699177662892565
12.6083083152771,1.4765450605792412,0.3059141394451764
12.812243938446045,1.4836702780236213,0.2576842550859106
13.026852369308472,1.5170462965788751,0.0317653230872525
13.286622524261475,1.5124211554307687,0.06307244100467194
13.578701496124268,1.4674197820978425,0.3676822369579147
13.810640335083008,1.4879204077272867,0.22891555213477113
14.024762630462646,1.514796227912229,0.04699581288491518
14.27720308303833,1.4654197210608235,0.3812204501113936
14.550818681716919,1.4940455946531572,0.1874547743522447
14.83297610282898,1.5114211249122593,0.0698415475814092
15.118969202041626,1.477045075838496,0.30252958615680453
15.384240627288818,1.4981707205420087,0.15953220972319937
15.637241840362549,1.4864203619495224,0.23906921199987816
15.849391222000122,1.5057959532456433,0.10791777207556592
16.085697650909424,1.5207964110232857,0.006381173424482811
16.314744472503662,1.4819202246162297,0.2695301915952035
16.542256116867065,1.4800451673940245,0.2822222664265884
