Time,Voltage,Force
0.029,1.5024,1.471
0.103,1.5105,1.295
0.131,1.4865,1.813
0.155,1.4368,2.871
0.182,1.4364,2.879
0.204,1.4933,1.668
0.226,1.5149,1.200
0.251,1.4618,2.342
0.278,1.4257,3.105
0.300,1.4617,2.344
0.335,1.4448,2.702
0.360,1.4260,3.097
0.383,1.4798,1.957
0.408,1.5133,1.235
0.430,1.4749,2.062
0.453,1.4295,3.023
0.482,1.4468,2.660
0.516,1.4575,2.432
0.538,1.4240,3.139
0.571,1.4978,1.571
0.606,1.4885,1.770
0.628,1.5139,1.222
0.656,1.4327,2.958
0.685,1.4909,1.719
0.709,1.5132,1.238
0.738,1.4509,2.572
0.763,1.5042,1.433
0.790,1.5027,1.465
0.826,1.4932,1.670
0.857,1.4385,2.834
0.895,1.5144,1.211
0.957,1.4442,2.715
1.004,1.5063,1.387
1.035,1.4513,2.564
1.058,1.4248,3.123
1.082,1.4729,2.104
1.117,1.4377,2.852
1.144,1.5149,1.200
1.179,1.4402,2.800
1.201,1.4957,1.616
1.223,1.5098,1.311
1.246,1.5025,1.468
1.278,1.4234,3.152
1.302,1.4689,2.190
1.324,1.5099,1.308
1.365,1.5137,1.227
1.390,1.4763,2.032
1.413,1.4300,3.013
1.440,1.4443,2.713
1.475,1.4583,2.416
1.504,1.4254,3.110
1.526,1.5000,1.522
1.548,1.5089,1.330
1.573,1.4277,3.063
1.633,1.4320,2.971
1.670,1.5123,1.257
1.693,1.4587,2.408
1.715,1.4250,3.118
1.746,1.5047,1.422
1.772,1.4503,2.586
1.798,1.4267,3.084
1.825,1.4882,1.778
1.857,1.4348,2.913
1.880,1.4355,2.897
1.908,1.4678,2.214
1.969,1.5070,1.371
2.008,1.5007,1.509
2.047,1.4918,1.700
2.076,1.4387,2.831
2.108,1.5129,1.243
2.137,1.4380,2.844
2.164,1.4939,1.654
2.202,1.5000,1.522
2.224,1.5043,1.430
2.247,1.5058,1.398
2.280,1.5075,1.360
2.304,1.4750,2.059
2.327,1.5135,1.230
2.352,1.4775,2.006
2.376,1.4323,2.965
2.400,1.4423,2.755
2.435,1.4512,2.567
2.464,1.5023,1.473
2.488,1.5012,1.498
2.520,1.4689,2.190
2.551,1.4399,2.805
2.578,1.4302,3.010
2.602,1.4863,1.818
2.634,1.4285,3.044
2.659,1.4455,2.686
2.690,1.4572,2.440
2.719,1.4260,3.097
2.741,1.4647,2.280
2.773,1.4433,2.734
2.796,1.4289,3.036
2.822,1.4820,1.909
2.854,1.4318,2.976
2.877,1.4414,2.773
2.900,1.4958,1.614
2.922,1.5095,1.317
2.958,1.4593,2.395
2.981,1.5070,1.371
3.004,1.4927,1.681
3.039,1.4730,2.102
3.062,1.5089,1.330
3.116,1.4342,2.926
3.139,1.4472,2.652
3.171,1.4600,2.379
3.196,1.4292,3.031
3.219,1.4639,2.296
3.253,1.4463,2.670
3.293,1.4423,2.755
3.330,1.4378,2.850
3.353,1.4422,2.757
3.382,1.4940,1.651
3.409,1.5063,1.387
3.434,1.4592,2.397
3.463,1.5004,1.514
3.491,1.4933,1.668
3.513,1.4452,2.694
3.544,1.5060,1.392
3.567,1.4754,2.051
3.590,1.4324,2.963
3.620,1.5045,1.425
3.643,1.4930,1.673
3.666,1.5010,1.500
3.700,1.4614,2.350
3.722,1.5028,1.463
3.745,1.4899,1.740
3.771,1.4430,2.739
3.809,1.4399,2.805
3.832,1.4730,2.102
3.867,1.4635,2.304
3.889,1.4328,2.955
3.914,1.4587,2.408
3.949,1.4522,2.546
3.974,1.4329,2.952
3.998,1.4742,2.078
4.039,1.4808,1.936
4.075,1.4372,2.863
4.098,1.4455,2.686
4.131,1.4614,2.350
4.168,1.4559,2.466
4.205,1.5022,1.476
4.228,1.4900,1.737
4.260,1.4765,2.027
4.282,1.5079,1.352
4.306,1.4744,2.072
4.340,1.4890,1.759
4.362,1.5049,1.417
4.387,1.4588,2.405
4.409,1.4315,2.981
4.435,1.4642,2.291
4.460,1.5033,1.452
4.487,1.4865,1.813
4.512,1.4428,2.744
4.536,1.4382,2.842
4.562,1.4845,1.856
4.585,1.5072,1.368
4.610,1.4638,2.299
4.645,1.4558,2.469
4.667,1.4983,1.560
4.691,1.4500,2.591
4.728,1.4423,2.755
4.753,1.4355,2.897
4.777,1.4829,1.890
4.802,1.5062,1.390
4.857,1.4944,1.643
4.891,1.4307,3.000
4.915,1.4640,2.294
4.941,1.5032,1.455
4.966,1.4879,1.783
4.992,1.4423,2.755
5.019,1.4378,2.850
5.045,1.4722,2.120
5.068,1.4347,2.916
5.091,1.4653,2.267
5.121,1.4959,1.611
5.143,1.5002,1.519
5.171,1.4512,2.567
5.204,1.5040,1.436
5.227,1.4853,1.839
5.253,1.4409,2.784
5.276,1.4383,2.839
5.319,1.4454,2.689
5.352,1.4615,2.347
5.377,1.4984,1.557
5.406,1.4960,1.608
5.433,1.4497,2.599
5.457,1.4329,2.952
5.483,1.4817,1.917
5.514,1.4390,2.823
5.537,1.4425,2.750
5.567,1.4913,1.711
5.602,1.4970,1.587
5.627,1.5004,1.514
5.669,1.4933,1.668
5.706,1.4868,1.807
5.737,1.4824,1.901
5.788,1.4704,2.158
5.812,1.4334,2.942
5.844,1.5040,1.436
5.867,1.4582,2.419
5.891,1.4335,2.939
5.928,1.4883,1.775
5.961,1.4807,1.939
5.985,1.5092,1.325
6.019,1.5085,1.338
6.043,1.4684,2.200
6.070,1.4314,2.984
6.095,1.4568,2.448
6.126,1.4535,2.517
6.152,1.4294,3.026
6.178,1.4725,2.112
6.213,1.4803,1.947
6.237,1.4369,2.868
6.267,1.4703,2.160
6.297,1.4938,1.657
6.320,1.5045,1.425
6.349,1.4554,2.477
6.377,1.4298,3.018
6.414,1.4293,3.029
6.440,1.4740,2.080
6.468,1.4393,2.818
6.502,1.5094,1.319
6.527,1.4682,2.206
6.565,1.4609,2.360
6.596,1.4265,3.086
6.624,1.4980,1.565
6.654,1.4708,2.150
6.685,1.5109,1.287
