Time,Voltage,Force
0.010,1.4559,2.466
0.033,1.4290,3.034
0.058,1.4670,2.230
0.092,1.4478,2.639
0.115,1.4340,2.929
0.140,1.4814,1.923
0.165,1.5100,1.306
0.188,1.4734,2.094
0.210,1.5102,1.303
0.236,1.4529,2.530
0.262,1.4327,2.958
0.292,1.5000,1.522
0.315,1.4523,2.543
0.344,1.4320,2.971
0.385,1.5063,1.387
0.421,1.4399,2.805
0.449,1.4713,2.139
0.480,1.4337,2.937
0.503,1.4554,2.477
0.525,1.4999,1.525
0.553,1.4298,3.018
0.575,1.4500,2.591
0.598,1.4318,2.976
0.621,1.4772,2.014
0.647,1.5090,1.327
0.669,1.4754,2.051
0.696,1.4337,2.937
0.720,1.4452,2.694
0.743,1.4954,1.622
0.781,1.4993,1.538
0.803,1.4632,2.312
0.826,1.4967,1.595
0.857,1.4282,3.052
0.882,1.4775,2.006
0.909,1.5088,1.333
0.935,1.4754,2.051
0.960,1.4927,1.681
0.990,1.5095,1.317
1.011,1.4615,2.347
1.035,1.4330,2.950
1.060,1.4689,2.190
1.106,1.4902,1.735
1.132,1.4424,2.752
1.158,1.4377,2.852
1.180,1.4873,1.797
1.203,1.4448,2.702
1.234,1.4639,2.296
1.263,1.4969,1.589
1.286,1.5004,1.514
1.318,1.4674,2.222
1.347,1.5045,1.425
1.369,1.4869,1.805
1.394,1.4428,2.744
1.419,1.4393,2.818
1.444,1.4877,1.788
1.481,1.4929,1.676
1.522,1.4983,1.560
1.568,1.5027,1.465
1.596,1.4322,2.968
1.620,1.4767,2.024
1.661,1.4817,1.917
1.695,1.4342,2.926
1.718,1.4459,2.678
1.760,1.4554,2.477
1.783,1.5007,1.509
1.809,1.4989,1.546
1.843,1.4732,2.099
1.866,1.5080,1.349
1.888,1.4852,1.842
1.910,1.4422,2.757
1.938,1.4442,2.715
1.960,1.4929,1.676
1.982,1.4532,2.525
2.004,1.4974,1.579
2.027,1.5040,1.436
2.049,1.4558,2.469
2.071,1.4978,1.571
2.098,1.4743,2.075
2.120,1.4360,2.887
2.143,1.4822,1.907
2.171,1.4408,2.786
2.196,1.4475,2.644
2.218,1.4365,2.876
2.241,1.4544,2.498
2.263,1.5003,1.517
2.286,1.4999,1.525
2.308,1.4529,2.530
2.331,1.4927,1.681
2.353,1.4469,2.657
2.383,1.5078,1.355
2.429,1.5084,1.341
2.455,1.4702,2.163
2.494,1.4628,2.320
2.535,1.4570,2.443
2.578,1.4705,2.155
2.602,1.5060,1.392
2.632,1.4835,1.877
2.656,1.4414,2.773
2.679,1.4423,2.755
2.702,1.4913,1.711
2.739,1.4329,2.952
2.769,1.5038,1.441
2.791,1.4572,2.440
2.814,1.4320,2.971
2.850,1.4872,1.799
2.889,1.4807,1.939
2.915,1.4394,2.815
2.964,1.4933,1.668
2.990,1.5060,1.392
3.029,1.5019,1.482
3.056,1.4534,2.519
3.078,1.4323,2.965
3.109,1.4883,1.775
3.166,1.5083,1.344
3.188,1.4725,2.112
3.211,1.4347,2.916
3.260,1.4948,1.635
3.291,1.4973,1.581
3.337,1.4344,2.921
3.377,1.4380,2.844
3.402,1.4853,1.839
3.426,1.5092,1.325
3.469,1.5073,1.365
3.504,1.5030,1.457
3.527,1.4997,1.530
3.558,1.4318,2.976
3.588,1.4910,1.716
3.613,1.4443,2.713
3.641,1.5085,1.338
3.663,1.4878,1.786
3.686,1.5092,1.325
3.711,1.4692,2.184
3.736,1.4348,2.913
3.758,1.4623,2.331
3.785,1.5022,1.476
3.807,1.4970,1.587
3.830,1.4503,2.586
3.852,1.4903,1.732
3.876,1.4452,2.694
3.899,1.4425,2.750
3.921,1.4905,1.727
3.958,1.4350,2.908
3.987,1.5063,1.387
4.009,1.4580,2.421
4.032,1.4319,2.973
4.058,1.4702,2.163
4.080,1.5085,1.338
4.103,1.4790,1.973
4.126,1.5100,1.306
4.151,1.4789,1.976
4.173,1.4389,2.826
4.197,1.4505,2.580
4.227,1.4648,2.278
4.252,1.4342,2.926
4.274,1.4579,2.424
4.297,1.4343,2.923
4.326,1.4923,1.689
4.359,1.4805,1.941
4.387,1.5082,1.346
4.412,1.4730,2.102
4.463,1.4502,2.588
4.485,1.4950,1.630
4.510,1.5010,1.500
4.539,1.4669,2.232
4.565,1.5057,1.400
4.599,1.4352,2.905
4.637,1.4408,2.786
4.663,1.4878,1.786
4.692,1.4335,2.939
4.715,1.4533,2.522
4.739,1.4982,1.562
4.777,1.4310,2.992
4.799,1.4710,2.144
4.823,1.5060,1.392
4.852,1.4354,2.900
4.884,1.4827,1.896
4.907,1.5079,1.352
4.938,1.4478,2.639
4.961,1.4944,1.643
4.989,1.5037,1.444
5.016,1.4655,2.262
5.047,1.4480,2.633
5.073,1.4898,1.743
5.097,1.4793,1.968
5.134,1.4402,2.800
5.158,1.4439,2.720
5.183,1.4925,1.684
5.221,1.4973,1.581
5.260,1.5017,1.487
5.291,1.4328,2.955
5.347,1.5080,1.349
5.387,1.5095,1.317
5.411,1.4705,2.155
5.476,1.4323,2.965
