Time,Voltage,Force
0.034,1.4513,2.564
0.062,1.4244,3.131
0.089,1.4679,2.211
0.113,1.4398,2.808
0.135,1.4834,1.880
0.160,1.4375,2.855
0.186,1.5124,1.254
0.209,1.4907,1.724
0.240,1.4294,3.026
0.275,1.4254,3.110
0.306,1.4587,2.408
0.331,1.5032,1.455
0.361,1.4255,3.107
0.387,1.4737,2.088
0.446,1.5099,1.308
0.468,1.4867,1.810
0.505,1.4919,1.697
0.527,1.5064,1.384
0.554,1.4978,1.571
0.576,1.4255,3.107
0.603,1.4657,2.259
0.626,1.5062,1.390
0.660,1.4272,3.073
0.688,1.4798,1.957
0.730,1.4852,1.842
0.758,1.4290,3.034
0.783,1.4463,2.670
0.823,1.4535,2.517
0.863,1.4623,2.331
0.886,1.5057,1.400
0.944,1.4784,1.987
0.966,1.5098,1.311
0.993,1.4720,2.123
1.027,1.4899,1.740
1.073,1.4572,2.440
1.113,1.4505,2.580
1.140,1.4257,3.105
1.163,1.4684,2.200
1.199,1.4387,2.831
1.225,1.4312,2.989
1.249,1.4832,1.885
1.284,1.4882,1.778
1.307,1.5087,1.336
1.335,1.4947,1.638
1.364,1.4988,1.549
1.393,1.4997,1.530
1.415,1.4462,2.673
1.442,1.4254,3.110
1.477,1.4839,1.869
1.502,1.4804,1.944
1.534,1.5074,1.363
1.558,1.4689,2.190
1.582,1.4274,3.068
1.604,1.4497,2.599
1.637,1.4540,2.506
1.680,1.4472,2.652
1.721,1.4417,2.768
1.752,1.5090,1.327
1.808,1.4869,1.805
1.830,1.5089,1.330
1.863,1.4465,2.665
1.885,1.4980,1.565
1.911,1.5018,1.484
1.938,1.4487,2.620
1.961,1.4238,3.144
1.985,1.4710,2.144
2.007,1.5092,1.325
2.033,1.4815,1.920
2.056,1.4329,2.952
2.087,1.5084,1.341
2.110,1.4907,1.724
2.133,1.5082,1.346
2.167,1.4537,2.514
2.210,1.4972,1.584
2.245,1.4707,2.152
2.275,1.4400,2.802
2.307,1.5113,1.279
2.329,1.4859,1.826
2.351,1.5117,1.271
2.383,1.4450,2.697
2.413,1.4614,2.350
2.437,1.4269,3.078
2.471,1.5009,1.503
2.507,1.4697,2.174
2.539,1.4430,2.739
2.583,1.4852,1.842
2.606,1.4375,2.855
2.634,1.4710,2.144
2.668,1.4972,1.584
2.691,1.5089,1.330
2.726,1.4593,2.395
2.748,1.5065,1.382
2.771,1.4967,1.595
2.810,1.4888,1.764
2.832,1.5140,1.219
2.855,1.4812,1.928
2.890,1.4889,1.762
2.919,1.4313,2.987
2.942,1.4495,2.602
2.974,1.4575,2.432
3.001,1.4277,3.063
3.026,1.4663,2.246
3.061,1.4452,2.694
3.084,1.4300,3.013
3.107,1.4817,1.917
3.139,1.4355,2.897
3.162,1.4414,2.773
3.191,1.4942,1.649
3.217,1.4280,3.055
3.251,1.5065,1.382
3.274,1.4528,2.533
3.308,1.5080,1.349
3.333,1.4928,1.678
3.358,1.4417,2.768
3.398,1.4363,2.881
3.420,1.4397,2.810
3.444,1.4933,1.668
3.475,1.5115,1.273
3.498,1.4628,2.320
3.520,1.4273,3.071
3.555,1.5018,1.484
3.577,1.4495,2.602
3.601,1.4287,3.042
3.624,1.4783,1.990
3.662,1.4392,2.821
3.687,1.4373,2.860
3.719,1.4699,2.168
3.741,1.4308,2.997
3.765,1.4522,2.546
3.801,1.4599,2.381
3.827,1.4278,3.060
3.851,1.4968,1.592
3.875,1.4439,2.720
3.903,1.4313,2.987
3.925,1.4834,1.880
3.949,1.5139,1.222
3.976,1.4740,2.080
4.005,1.4310,2.992
4.058,1.4579,2.424
4.081,1.4269,3.078
4.105,1.4667,2.238
4.131,1.5110,1.284
4.181,1.4414,2.773
4.204,1.4340,2.929
4.235,1.4739,2.083
4.260,1.4319,2.973
4.282,1.4484,2.625
4.326,1.4554,2.477
4.352,1.5028,1.463
4.379,1.4990,1.544
4.409,1.4719,2.126
4.438,1.4425,2.750
4.462,1.4332,2.947
4.491,1.4860,1.823
4.519,1.5138,1.224
4.555,1.5114,1.276
4.607,1.4278,3.060
4.631,1.5022,1.476
4.662,1.4475,2.644
4.693,1.5110,1.284
4.716,1.4864,1.815
4.748,1.4848,1.850
4.779,1.4340,2.929
4.823,1.4289,3.036
4.874,1.5012,1.498
4.923,1.4487,2.620
4.950,1.5109,1.287
4.972,1.4885,1.770
5.012,1.4828,1.893
5.034,1.5140,1.219
5.058,1.4724,2.115
5.094,1.4637,2.302
5.129,1.5012,1.498
5.162,1.4275,3.065
5.189,1.4662,2.248
5.214,1.5102,1.303
5.248,1.4293,3.029
5.273,1.4810,1.931
5.306,1.4885,1.770
5.347,1.4943,1.646
5.373,1.5119,1.265
5.402,1.4589,2.403
5.442,1.4518,2.554
5.477,1.4465,2.665
5.503,1.4285,3.044
5.551,1.5129,1.243
5.576,1.4718,2.128
5.600,1.4313,2.987
5.641,1.4274,3.068
5.679,1.4257,3.105
5.725,1.4255,3.107
5.776,1.5105,1.295
5.812,1.5129,1.243
5.846,1.4365,2.876
5.895,1.5129,1.243
5.921,1.4613,2.352
5.986,1.4267,3.084
6.019,1.4953,1.624
6.060,1.4888,1.764
6.083,1.4375,2.855
6.118,1.5127,1.249
6.147,1.4433,2.734
6.170,1.4955,1.619
6.201,1.4263,3.092
6.225,1.4589,2.403
6.248,1.5053,1.409
6.274,1.4970,1.587
6.297,1.4442,2.715
6.322,1.4282,3.052
6.360,1.4812,1.928
6.388,1.4890,1.759
6.413,1.5129,1.243
6.446,1.4464,2.668
6.483,1.4580,2.421
6.508,1.5065,1.382
6.531,1.4638,2.299
6.567,1.4723,2.118
6.591,1.5184,1.124
6.615,1.4864,1.815
6.649,1.4885,1.770
6.682,1.4250,3.118
6.729,1.5030,1.457
6.753,1.5137,1.227
6.781,1.4440,2.718
6.819,1.4307,3.000
6.856,1.4988,1.549
6.880,1.4610,2.358
6.914,1.4202,3.220
6.939,1.3362,4.949
6.963,1.3280,5.113
7.001,1.3207,5.262
7.025,1.2222,7.204
7.055,1.2882,5.911
7.078,1.1969,7.688
7.115,1.3022,5.633
7.138,1.2898,5.879
7.164,1.2384,6.889
7.189,1.2272,7.107
7.215,1.3155,5.365
7.239,1.2173,7.298
7.283,1.2474,6.713
7.320,1.2425,6.808
7.351,1.3218,5.239
7.393,1.4059,3.517
7.417,1.4763,2.032
7.444,1.3962,3.720
7.489,1.4233,3.154
7.520,1.4623,2.331
7.573,1.5135,1.230
7.598,1.4445,2.707
7.635,1.5144,1.211
7.664,1.4129,3.371
7.708,1.4210,3.202
7.759,1.5239,1.004
7.788,1.4365,2.876
7.836,1.5178,1.138
7.861,1.4487,2.620
7.901,1.4395,2.813
7.932,1.5225,1.034
7.955,1.4894,1.751
7.984,1.4263,3.092
8.017,1.5210,1.067
8.043,1.4607,2.366
8.124,1.4420,2.760
8.148,1.4028,3.582
8.180,1.4928,1.678
8.214,1.4673,2.224
8.242,1.4193,3.238
8.293,1.4905,1.727
8.327,1.4154,3.319
8.377,1.5010,1.500
8.401,1.5037,1.444
8.433,1.4954,1.622
8.457,1.5117,1.271
8.482,1.4072,3.491
8.508,1.4758,2.043
8.531,1.5173,1.148
8.561,1.4709,2.147
8.586,1.4185,3.254
8.620,1.5207,1.075
8.643,1.4553,2.480
8.668,1.4120,3.390
8.691,1.4623,2.331
8.719,1.5230,1.023
8.745,1.4149,3.330
8.804,1.4190,3.243
8.851,1.4795,1.963
8.890,1.4772,2.014
8.914,1.4780,1.995
8.945,1.3967,3.709
8.978,1.4298,3.018
9.002,1.4025,3.587
9.038,1.3293,5.088
9.066,1.2558,6.550
9.090,1.2502,6.660
9.145,1.2600,6.466
9.176,1.4354,2.900
9.202,1.4082,3.470
9.247,1.4655,2.262
9.276,1.5189,1.113
9.312,1.4169,3.288
9.347,1.4254,3.110
9.370,1.4943,1.646
9.402,1.4067,3.502
9.444,1.3988,3.665
9.482,1.4989,1.546
9.512,1.4564,2.456
9.567,1.4138,3.353
9.630,1.4685,2.198
9.686,1.4369,2.868
9.736,1.4899,1.740
9.773,1.4638,2.299
9.808,1.4779,1.998
9.867,1.4379,2.847
9.913,1.5127,1.249
9.953,1.4523,2.543
10.006,1.4278,3.060
10.044,1.4260,3.097
10.068,1.4688,2.192
10.100,1.5038,1.441
10.129,1.4289,3.036
10.153,1.4800,1.952
10.182,1.4250,3.118
10.213,1.4474,2.646
10.245,1.4568,2.448
10.289,1.4593,2.395
10.321,1.4398,2.808
10.352,1.5018,1.484
10.379,1.4763,2.032
10.405,1.4292,3.031
10.432,1.4319,2.973
10.467,1.4402,2.800
10.493,1.4902,1.735
10.522,1.4185,3.254
10.559,1.4813,1.925
10.591,1.4540,2.506
10.614,1.5008,1.506
10.650,1.4264,3.089
10.686,1.4328,2.955
10.711,1.4840,1.866
10.775,1.5000,1.522
10.803,1.4498,2.596
10.831,1.4212,3.199
10.859,1.4885,1.770
10.883,1.4373,2.860
10.914,1.5034,1.449
10.945,1.4305,3.002
10.970,1.4827,1.896
11.001,1.5015,1.490
11.030,1.4455,2.686
11.053,1.4930,1.673
11.088,1.4215,3.191
11.121,1.4897,1.745
11.153,1.4688,2.192
11.182,1.4334,2.942
11.206,1.4299,3.015
11.233,1.4815,1.920
11.301,1.5022,1.476
11.338,1.4984,1.557
11.368,1.4609,2.360
11.399,1.5013,1.495
11.424,1.4849,1.848
11.448,1.4349,2.910
11.477,1.5053,1.409
11.507,1.4338,2.934
11.539,1.4604,2.371
11.566,1.4218,3.186
11.610,1.4204,3.215
11.646,1.4197,3.230
11.674,1.4667,2.238
11.698,1.5047,1.422
11.729,1.4253,3.112
11.753,1.4802,1.949
11.777,1.5030,1.457
11.809,1.4357,2.894
11.834,1.4918,1.700
11.859,1.5007,1.509
11.889,1.4545,2.496
11.916,1.5014,1.492
11.940,1.4882,1.778
11.971,1.4705,2.155
12.000,1.5075,1.360
