Time,Voltage,Force
0.004,1.4487,2.620
0.032,1.4259,3.099
0.055,1.4724,2.115
0.108,1.4778,2.000
0.139,1.4853,1.839
0.160,1.5087,1.336
0.182,1.4644,2.286
0.206,1.5067,1.379
0.228,1.4572,2.440
0.259,1.5023,1.473
0.294,1.4250,3.118
0.317,1.4704,2.158
0.353,1.4769,2.019
0.380,1.5100,1.306
0.403,1.4713,2.139
0.442,1.4904,1.729
0.469,1.4265,3.086
0.507,1.4274,3.068
0.536,1.4619,2.339
0.564,1.4450,2.697
0.586,1.4895,1.748
0.617,1.4764,2.030
0.642,1.5100,1.306
0.665,1.4734,2.094
0.694,1.4890,1.759
0.717,1.4440,2.718
0.740,1.4945,1.641
0.766,1.5034,1.449
0.792,1.4533,2.522
0.848,1.4903,1.732
0.876,1.4747,2.067
0.909,1.4345,2.918
0.937,1.4364,2.879
0.962,1.4882,1.778
0.988,1.4269,3.078
1.029,1.4247,3.126
1.051,1.4585,2.411
1.076,1.4257,3.105
1.101,1.4932,1.670
1.123,1.5059,1.395
1.157,1.4303,3.008
1.180,1.4805,1.941
1.245,1.5090,1.327
1.293,1.4260,3.097
1.326,1.5019,1.482
1.356,1.4652,2.270
1.380,1.5060,1.392
1.403,1.4860,1.823
1.430,1.4377,2.852
1.460,1.5070,1.371
1.491,1.4383,2.839
1.513,1.4272,3.073
1.544,1.5055,1.403
1.572,1.4550,2.485
1.594,1.4249,3.120
1.626,1.4948,1.635
1.655,1.4709,2.147
1.678,1.5079,1.352
1.702,1.4778,2.000
1.731,1.4335,2.939
1.757,1.4382,2.842
1.779,1.4910,1.716
1.802,1.5060,1.392
1.825,1.4588,2.405
1.847,1.5034,1.449
1.870,1.4508,2.575
1.898,1.5049,1.417
1.920,1.4700,2.166
1.943,1.5068,1.376
1.967,1.4819,1.912
2.003,1.4734,2.094
2.042,1.4902,1.735
2.065,1.5072,1.368
2.093,1.4518,2.554
2.115,1.4257,3.105
2.144,1.4973,1.581
2.166,1.4460,2.676
2.188,1.4905,1.727
2.217,1.4743,2.075
2.240,1.5093,1.322
2.262,1.4819,1.912
2.297,1.4874,1.794
2.335,1.4284,3.047
2.358,1.4500,2.591
2.389,1.4532,2.525
2.423,1.5029,1.460
2.449,1.4914,1.708
2.475,1.4737,2.088
2.512,1.4359,2.889
2.548,1.4318,2.976
2.574,1.4410,2.781
2.616,1.4483,2.628
2.643,1.4974,1.579
2.683,1.5023,1.473
2.706,1.4930,1.673
2.736,1.4715,2.134
2.759,1.5092,1.325
2.781,1.4793,1.968
2.804,1.5093,1.322
2.827,1.4712,2.142
2.850,1.4287,3.042
2.886,1.5050,1.414
2.916,1.4554,2.477
2.938,1.5004,1.514
2.969,1.4248,3.123
2.998,1.4723,2.118
3.021,1.5079,1.352
3.054,1.4315,2.981
3.099,1.4385,2.834
3.131,1.4647,2.280
3.154,1.4259,3.099
3.185,1.5012,1.498
3.208,1.4514,2.562
3.232,1.4255,3.107
3.259,1.4693,2.182
3.287,1.4389,2.826
3.312,1.4315,2.981
3.345,1.4722,2.120
3.368,1.5095,1.317
3.393,1.4439,2.720
3.424,1.4942,1.649
3.448,1.5032,1.455
3.472,1.4512,2.567
3.506,1.4445,2.707
3.528,1.4914,1.708
3.568,1.4823,1.904
3.594,1.4347,2.916
3.641,1.4877,1.788
3.672,1.4264,3.089
3.694,1.4512,2.567
3.721,1.4979,1.568
3.749,1.4965,1.598
3.784,1.4904,1.729
3.807,1.4417,2.768
3.840,1.4293,3.029
3.867,1.4768,2.022
3.893,1.4317,2.979
3.920,1.5065,1.382
3.946,1.4612,2.355
3.970,1.4267,3.084
3.996,1.4567,2.450
4.046,1.4924,1.686
4.085,1.4848,1.850
4.120,1.4793,1.968
4.145,1.5082,1.346
4.187,1.5073,1.365
4.218,1.4473,2.649
4.249,1.4559,2.466
4.302,1.4930,1.673
4.332,1.4442,2.715
4.354,1.4283,3.050
4.379,1.4779,1.998
4.409,1.4347,2.916
4.437,1.4390,2.823
4.468,1.4628,2.320
4.490,1.4263,3.092
4.514,1.4540,2.506
4.548,1.4498,2.596
4.574,1.4264,3.089
4.599,1.4700,2.166
4.631,1.4388,2.829
4.662,1.5085,1.338
4.687,1.4720,2.123
4.718,1.4885,1.770
4.745,1.5068,1.376
4.784,1.5019,1.482
4.844,1.5028,1.463
4.900,1.4745,2.070
4.928,1.4360,2.887
4.953,1.4365,2.876
4.987,1.4654,2.264
5.009,1.4287,3.042
5.032,1.4587,2.408
5.070,1.4519,2.551
5.103,1.5035,1.446
5.128,1.4908,1.721
5.160,1.4737,2.088
5.185,1.5088,1.333
5.213,1.4755,2.048
5.242,1.4863,1.818
5.266,1.5073,1.365
5.291,1.4600,2.379
5.325,1.4963,1.603
5.355,1.4253,3.112
5.379,1.4658,2.256
5.408,1.4414,2.773
5.437,1.4294,3.026
5.461,1.4787,1.981
