Time,Voltage,Force
9.690,1.5120,1.262
9.731,1.5149,1.200
9.789,1.4534,2.519
9.858,1.5177,1.140
9.903,1.4420,2.760
9.931,1.4688,2.192
10.019,1.4983,1.560
10.047,1.4537,2.514
10.073,1.5187,1.119
10.137,1.4767,2.024
10.175,1.5064,1.384
10.199,1.5118,1.268
10.244,1.4420,2.760
10.276,1.5003,1.517
10.300,1.4549,2.488
10.338,1.5177,1.140
10.379,1.5185,1.121
10.408,1.4590,2.400
10.462,1.4404,2.794
10.541,1.5007,1.509
10.580,1.4925,1.684
10.637,1.4518,2.554
10.664,1.4753,2.054
10.693,1.4390,2.823
10.725,1.5080,1.349
10.754,1.4700,2.166
10.802,1.4999,1.525
10.845,1.4452,2.694
10.877,1.4858,1.829
10.905,1.4472,2.652
10.947,1.4435,2.728
10.994,1.5090,1.327
11.025,1.4415,2.771
11.068,1.4427,2.747
11.100,1.4964,1.600
11.130,1.4918,1.700
11.160,1.5170,1.154
11.198,1.5158,1.181
11.222,1.4735,2.091
11.261,1.4677,2.216
11.286,1.4414,2.773
11.323,1.5037,1.444
11.379,1.5172,1.151
11.431,1.4967,1.595
11.475,1.5022,1.476
11.501,1.5147,1.205
11.525,1.4689,2.190
11.569,1.4779,1.998
11.658,1.4898,1.743
11.691,1.4947,1.638
11.718,1.5155,1.186
11.761,1.5129,1.243
11.807,1.4397,2.810
11.837,1.5035,1.446
11.868,1.4803,1.947
11.910,1.4879,1.783
11.963,1.4820,1.909
12.010,1.4584,2.413
12.041,1.4688,2.192
12.087,1.4624,2.328
12.125,1.4580,2.421
12.155,1.5157,1.184
12.191,1.4454,2.689
12.235,1.5164,1.167
12.261,1.4753,2.054
12.338,1.5078,1.355
12.363,1.4393,2.818
12.388,1.4577,2.429
12.414,1.5148,1.203
12.458,1.5159,1.178
12.491,1.4502,2.588
12.519,1.4769,2.019
12.551,1.5019,1.482
12.594,1.5068,1.376
12.627,1.4390,2.823
12.654,1.4778,2.000
12.700,1.4922,1.692
12.748,1.4495,2.602
12.795,1.4564,2.456
12.856,1.5068,1.376
12.926,1.4405,2.792
12.950,1.4844,1.858
12.990,1.4903,1.732
13.030,1.4978,1.571
13.055,1.5165,1.165
13.094,1.4642,2.291
13.119,1.4673,2.224
13.145,1.4410,2.781
13.182,1.5030,1.457
13.206,1.4559,2.466
13.244,1.4520,2.549
13.289,1.4483,2.628
13.350,1.4624,2.328
13.385,1.4685,2.198
13.413,1.5110,1.284
13.453,1.5142,1.216
13.487,1.4967,1.595
13.513,1.4912,1.713
13.550,1.4964,1.600
13.588,1.4444,2.710
13.654,1.4694,2.179
13.717,1.5149,1.200
13.765,1.4535,2.517
13.792,1.4487,2.620
13.828,1.4540,2.506
13.866,1.4752,2.056
13.921,1.5108,1.290
13.970,1.5049,1.417
14.007,1.4437,2.726
14.036,1.4894,1.751
14.061,1.5180,1.132
14.110,1.4454,2.689
14.153,1.5065,1.382
14.184,1.5114,1.276
14.210,1.4754,2.051
14.247,1.4583,2.416
14.301,1.4914,1.708
14.351,1.4533,2.522
14.406,1.4430,2.739
14.459,1.5100,1.306
14.484,1.5054,1.406
14.528,1.4430,2.739
14.556,1.4878,1.786
14.590,1.4943,1.646
14.641,1.4772,2.014
14.686,1.4714,2.136
14.711,1.4404,2.794
14.753,1.5129,1.243
14.807,1.4544,2.498
14.850,1.4934,1.665
14.878,1.5169,1.157
14.915,1.5160,1.176
14.979,1.5089,1.330
15.026,1.4603,2.373
15.067,1.4548,2.490
15.101,1.5178,1.138
15.131,1.4517,2.557
15.161,1.4785,1.984
15.198,1.5045,1.425
15.255,1.4729,2.104
