Time,Voltage,Force
0.024,1.4822,1.907
0.050,1.5277,0.923
0.072,1.4909,1.719
0.095,1.5313,0.844
0.117,1.5109,1.287
0.143,1.4639,2.296
0.166,1.4612,2.355
0.188,1.5134,1.233
0.215,1.5354,0.753
0.238,1.4908,1.721
0.260,1.5332,0.803
0.283,1.4828,1.893
0.313,1.5262,0.955
0.335,1.5222,1.042
0.360,1.4707,2.152
0.382,1.5143,1.214
0.415,1.5060,1.392
0.440,1.4602,2.376
0.471,1.4640,2.294
0.499,1.4910,1.716
0.532,1.5209,1.070
0.554,1.5288,0.898
0.577,1.5258,0.964
0.599,1.5229,1.026
0.635,1.5150,1.197
0.657,1.5338,0.789
0.679,1.5084,1.341
0.707,1.4615,2.347
0.733,1.5344,0.775
0.756,1.5143,1.214
0.783,1.4535,2.517
0.819,1.5293,0.887
0.842,1.4782,1.992
0.907,1.4528,2.533
0.929,1.5002,1.519
0.960,1.4614,2.350
0.996,1.5350,0.762
1.018,1.4929,1.676
1.048,1.4539,2.509
1.075,1.5299,0.874
1.097,1.5233,1.018
1.136,1.5277,0.923
1.159,1.5199,1.091
1.182,1.4690,2.187
1.206,1.4560,2.464
1.233,1.5064,1.384
1.256,1.5344,0.775
1.285,1.4659,2.254
1.307,1.4564,2.456
1.329,1.4742,2.078
1.362,1.4810,1.931
1.384,1.4527,2.535
1.406,1.4755,2.048
1.442,1.4687,2.195
1.466,1.4553,2.480
1.489,1.5042,1.433
1.517,1.5352,0.759
1.541,1.4955,1.619
1.570,1.5159,1.178
1.597,1.5319,0.830
1.624,1.4829,1.890
1.649,1.4504,2.583
1.695,1.5289,0.895
1.717,1.5137,1.227
1.741,1.4649,2.275
1.764,1.5065,1.382
1.799,1.4988,1.549
1.823,1.4569,2.445
1.854,1.5315,0.838
1.877,1.5205,1.078
1.901,1.5279,0.917
1.928,1.4767,2.024
1.950,1.4515,2.559
1.977,1.4940,1.651
1.999,1.5324,0.819
2.023,1.5085,1.338
2.045,1.4610,2.358
2.073,1.4614,2.350
2.098,1.4938,1.657
2.120,1.5324,0.819
2.148,1.4758,2.043
2.175,1.5244,0.993
2.204,1.4503,2.586
2.239,1.5159,1.178
2.274,1.5002,1.519
2.301,1.4630,2.315
2.354,1.5127,1.249
2.376,1.5329,0.808
2.406,1.4872,1.799
2.441,1.4797,1.960
2.464,1.4508,2.575
2.493,1.4905,1.727
2.523,1.4688,2.192
2.545,1.4543,2.501
2.577,1.5030,1.457
2.607,1.4603,2.373
2.632,1.4658,2.256
2.662,1.4883,1.775
2.685,1.4530,2.527
2.714,1.4805,1.941
2.747,1.4757,2.046
2.770,1.4517,2.557
2.797,1.5125,1.252
2.837,1.5034,1.449
2.869,1.4603,2.373
2.892,1.4637,2.302
2.926,1.4888,1.764
2.948,1.4539,2.509
2.971,1.4788,1.979
2.995,1.5257,0.966
3.018,1.5202,1.086
3.041,1.4689,2.190
3.063,1.5132,1.238
3.088,1.4668,2.235
3.111,1.4569,2.445
3.140,1.4928,1.678
3.163,1.4488,2.617
3.186,1.4840,1.866
3.214,1.5123,1.257
3.238,1.5238,1.007
3.261,1.4739,2.083
3.291,1.4459,2.678
3.329,1.4487,2.620
3.352,1.4957,1.616
3.382,1.4589,2.403
3.419,1.5292,0.890
3.445,1.4872,1.799
3.499,1.5213,1.062
3.531,1.4755,2.048
3.583,1.5142,1.216
3.606,1.4622,2.334
3.635,1.5288,0.898
3.666,1.4565,2.453
3.697,1.5079,1.352
3.746,1.4784,1.987
3.770,1.4425,2.750
3.795,1.4725,2.112
3.823,1.4679,2.211
3.847,1.4492,2.609
3.873,1.4953,1.624
3.903,1.4644,2.286
3.941,1.5330,0.805
3.963,1.4948,1.635
3.993,1.5139,1.222
4.017,1.5249,0.983
4.067,1.4427,2.747
4.133,1.4854,1.837
4.174,1.4922,1.692
4.213,1.4989,1.546
4.237,1.5224,1.037
4.266,1.4803,1.947
4.295,1.5115,1.273
4.319,1.5178,1.138
4.350,1.4762,2.035
4.374,1.5190,1.110
4.397,1.5059,1.395
4.432,1.4924,1.686
4.455,1.5250,0.980
4.480,1.4904,1.729
4.502,1.5277,0.923
4.528,1.4635,2.304
4.551,1.4499,2.594
4.581,1.5250,0.980
4.607,1.4778,2.000
4.631,1.4510,2.570
4.663,1.5145,1.208
4.686,1.4674,2.222
4.712,1.4547,2.493
4.742,1.5000,1.522
4.769,1.4582,2.419
4.792,1.4674,2.222
4.815,1.5173,1.148
4.839,1.5285,0.904
4.864,1.4797,1.960
4.891,1.4508,2.575
4.919,1.5170,1.154
4.949,1.4672,2.227
4.978,1.5325,0.816
5.007,1.4604,2.371
5.031,1.4595,2.389
5.058,1.5334,0.797
5.088,1.4732,2.099
5.116,1.5214,1.059
5.140,1.5227,1.032
5.170,1.4859,1.826
5.193,1.4503,2.586
5.216,1.4944,1.643
5.244,1.4610,2.358
