Time,Voltage,Force
0.008,1.5164,1.167
0.035,1.4583,2.416
0.062,1.5038,1.441
0.094,1.4410,2.781
0.123,1.5045,1.425
0.157,1.4810,1.931
0.183,1.5174,1.146
0.206,1.4923,1.689
0.228,1.4503,2.586
0.256,1.4545,2.496
0.290,1.4750,2.059
0.339,1.4680,2.208
0.370,1.4628,2.320
0.395,1.4417,2.768
0.419,1.4835,1.877
0.451,1.4517,2.557
0.487,1.5160,1.176
0.510,1.4793,1.968
0.540,1.5009,1.503
0.562,1.5130,1.241
0.586,1.4659,2.254
0.614,1.4420,2.760
0.649,1.5012,1.498
0.681,1.4864,1.815
0.703,1.5163,1.170
0.728,1.4862,1.821
0.751,1.4454,2.689
0.774,1.4583,2.416
0.815,1.4652,2.270
0.837,1.5082,1.346
0.878,1.4405,2.792
0.913,1.4428,2.744
0.936,1.4877,1.788
0.962,1.5160,1.176
0.998,1.4524,2.541
1.043,1.5145,1.208
1.066,1.4697,2.174
1.126,1.5038,1.441
1.165,1.4962,1.606
1.208,1.4894,1.751
1.230,1.4485,2.623
1.257,1.4542,2.504
1.286,1.4730,2.102
1.320,1.5068,1.376
1.342,1.5077,1.357
1.366,1.5117,1.271
1.389,1.5015,1.490
1.412,1.4554,2.477
1.453,1.4500,2.591
1.475,1.4510,2.570
1.501,1.4995,1.533
1.523,1.5153,1.192
1.550,1.4724,2.115
1.574,1.4404,2.794
1.601,1.5057,1.400
1.628,1.4584,2.413
1.651,1.4412,2.779
1.695,1.4448,2.702
1.717,1.4953,1.624
1.741,1.5168,1.159
1.772,1.4758,2.043
1.794,1.4418,2.765
1.817,1.4668,2.235
1.840,1.5107,1.292
1.864,1.5054,1.406
1.888,1.4562,2.461
1.916,1.4419,2.763
1.938,1.4903,1.732
1.963,1.5178,1.138
1.989,1.4819,1.912
2.011,1.4430,2.739
2.033,1.4604,2.371
2.062,1.5075,1.360
2.098,1.5113,1.279
2.127,1.5043,1.430
2.150,1.4525,2.538
2.179,1.4422,2.757
2.202,1.4880,1.780
2.227,1.4432,2.736
2.263,1.5188,1.116
2.287,1.4709,2.147
2.310,1.4359,2.889
2.340,1.4707,2.152
2.365,1.5170,1.154
2.389,1.5025,1.468
2.428,1.4935,1.662
2.451,1.4448,2.702
2.482,1.5209,1.070
2.504,1.4773,2.011
2.529,1.4368,2.871
2.565,1.5140,1.219
2.588,1.4619,2.339
2.610,1.4360,2.887
2.639,1.4828,1.893
2.662,1.5199,1.091
2.686,1.4914,1.708
2.708,1.4457,2.683
2.741,1.5178,1.138
2.773,1.4603,2.373
2.797,1.5079,1.352
2.825,1.5109,1.287
2.848,1.4618,2.342
2.871,1.4398,2.808
