Time,Voltage,Force
0.030,1.5360,0.740
0.064,1.4595,2.389
0.113,1.5363,0.734
0.139,1.4863,1.818
0.168,1.5265,0.947
0.191,1.5278,0.920
0.218,1.4737,2.088
0.245,1.4523,2.543
0.286,1.4544,2.498
0.312,1.5079,1.352
0.367,1.4688,2.192
0.390,1.5214,1.059
0.420,1.4509,2.572
0.443,1.4803,1.947
0.467,1.4517,2.557
0.489,1.4953,1.624
0.512,1.5363,0.734
0.543,1.4572,2.440
0.568,1.5099,1.308
0.592,1.5382,0.693
0.614,1.4923,1.689
0.642,1.4532,2.525
0.666,1.4807,1.939
0.690,1.5280,0.914
0.724,1.4512,2.567
0.746,1.4982,1.562
0.770,1.4542,2.504
0.800,1.5078,1.355
0.824,1.4610,2.358
0.848,1.4647,2.280
0.880,1.4904,1.729
0.917,1.4833,1.882
0.969,1.4902,1.735
0.999,1.4712,2.142
1.022,1.4542,2.504
1.050,1.5055,1.403
1.082,1.4598,2.384
1.128,1.5187,1.119
1.165,1.4530,2.527
1.195,1.5293,0.887
1.218,1.4747,2.067
1.253,1.5334,0.797
1.299,1.4625,2.326
1.329,1.4615,2.347
1.355,1.4964,1.600
1.386,1.5194,1.102
1.413,1.4759,2.040
1.438,1.4802,1.949
1.469,1.5295,0.882
1.503,1.4514,2.562
1.532,1.5018,1.484
1.587,1.4605,2.368
1.613,1.5150,1.197
1.673,1.5312,0.846
1.695,1.4787,1.981
1.724,1.4507,2.578
1.752,1.5175,1.143
1.777,1.5342,0.781
1.809,1.5355,0.751
1.832,1.5103,1.300
1.859,1.4567,2.450
1.890,1.5350,0.762
1.913,1.5228,1.029
1.936,1.5309,0.852
1.960,1.4790,1.973
1.982,1.4514,2.562
2.005,1.4958,1.614
2.028,1.5363,0.734
2.056,1.5080,1.349
2.084,1.4617,2.344
2.115,1.5368,0.723
2.138,1.4910,1.716
2.168,1.4527,2.535
2.197,1.5294,0.884
2.220,1.4763,2.032
2.253,1.5322,0.824
2.290,1.5354,0.753
2.315,1.5068,1.376
2.338,1.4592,2.397
2.364,1.4657,2.259
2.387,1.5177,1.140
2.415,1.5332,0.803
2.451,1.5279,0.917
2.480,1.4745,2.070
2.549,1.5348,0.767
2.585,1.4597,2.387
2.609,1.5137,1.227
2.639,1.4542,2.504
2.665,1.4752,2.056
2.688,1.5243,0.996
2.719,1.4494,2.604
2.741,1.4748,2.064
2.770,1.4515,2.559
2.801,1.4540,2.506
2.824,1.4629,2.318
2.848,1.4603,2.373
2.886,1.4667,2.238
2.909,1.5205,1.078
2.934,1.5319,0.830
2.960,1.4802,1.949
2.991,1.5300,0.871
3.015,1.5188,1.116
3.042,1.4675,2.219
3.078,1.4607,2.366
3.101,1.4619,2.339
3.126,1.4567,2.450
3.148,1.4698,2.171
3.173,1.5218,1.051
3.211,1.5259,0.961
3.238,1.5240,1.002
3.260,1.4714,2.136
3.289,1.5337,0.792
3.312,1.5087,1.336
3.346,1.4602,2.376
3.381,1.4567,2.450
3.403,1.4694,2.179
3.433,1.5210,1.067
3.463,1.4514,2.562
3.486,1.4863,1.818
3.516,1.4700,2.166
3.541,1.5169,1.157
3.565,1.5029,1.460
3.603,1.4592,2.397
3.628,1.4640,2.294
3.651,1.5160,1.176
3.681,1.4512,2.567
3.703,1.4805,1.941
3.726,1.5265,0.947
3.760,1.4502,2.588
3.784,1.4969,1.589
3.809,1.5340,0.783
3.839,1.5058,1.398
3.874,1.4967,1.595
3.905,1.4545,2.496
3.931,1.5322,0.824
3.964,1.4804,1.944
4.000,1.4753,2.054
4.024,1.4502,2.588
4.063,1.4519,2.551
4.092,1.5043,1.430
4.116,1.5358,0.745
4.145,1.4649,2.275
4.173,1.5194,1.102
4.195,1.5323,0.822
4.223,1.4818,1.915
4.253,1.5289,0.895
4.286,1.4504,2.583
4.311,1.4984,1.557
4.333,1.5345,0.773
4.381,1.4574,2.435
4.410,1.5358,0.745
4.468,1.5248,0.985
4.511,1.5287,0.901
4.551,1.5338,0.789
4.581,1.4550,2.485
4.605,1.5069,1.373
4.629,1.5367,0.726
4.651,1.5135,1.230
4.691,1.5198,1.094
4.726,1.5250,0.980
4.760,1.5262,0.955
4.810,1.5342,0.781
4.835,1.5093,1.322
4.868,1.5067,1.379
4.898,1.4570,2.443
4.928,1.4675,2.219
4.953,1.4852,1.842
4.983,1.4515,2.559
5.012,1.5240,1.002
5.048,1.4940,1.651
5.073,1.5328,0.811
5.100,1.4562,2.461
5.128,1.5090,1.327
5.153,1.5349,0.764
5.182,1.4688,2.192
5.205,1.5213,1.062
5.236,1.5292,0.890
5.264,1.4855,1.834
5.298,1.4710,2.144
5.329,1.5343,0.778
5.354,1.5079,1.352
5.385,1.4608,2.363
5.412,1.5348,0.767
5.438,1.4907,1.724
5.474,1.4829,1.890
5.509,1.5258,0.964
5.534,1.5234,1.015
5.566,1.4940,1.651
5.591,1.5342,0.781
5.625,1.4568,2.448
5.654,1.4972,1.584
5.683,1.4548,2.490
5.711,1.4698,2.171
5.738,1.4828,1.893
5.764,1.4515,2.559
5.788,1.4869,1.805
5.816,1.4689,2.190
5.839,1.4534,2.519
5.868,1.5032,1.455
5.898,1.4592,2.397
5.926,1.4642,2.291
5.950,1.5154,1.189
5.979,1.4504,2.583
6.004,1.4799,1.955
6.032,1.5260,0.958
6.058,1.5212,1.064
6.081,1.4690,2.187
