Time,Voltage,Force
0.012,1.5075,1.360
0.034,1.4779,1.998
0.100,1.4423,2.755
0.122,1.4654,2.264
0.144,1.5028,1.463
0.168,1.4720,2.123
0.190,1.5047,1.422
0.213,1.4944,1.643
0.237,1.4544,2.498
0.267,1.5067,1.379
0.290,1.4867,1.810
0.315,1.5073,1.365
0.348,1.5063,1.387
0.370,1.4963,1.603
0.399,1.4422,2.757
0.422,1.4692,2.184
0.446,1.5030,1.457
0.469,1.4752,2.056
0.491,1.5065,1.382
0.514,1.4882,1.778
0.536,1.4512,2.567
0.565,1.4505,2.580
0.588,1.4914,1.708
0.617,1.4443,2.713
0.638,1.4690,2.187
0.663,1.4434,2.731
0.688,1.4677,2.216
0.717,1.4594,2.392
0.739,1.4442,2.715
0.762,1.4554,2.477
0.788,1.5093,1.322
0.812,1.4847,1.853
0.835,1.5100,1.306
0.862,1.4549,2.488
0.888,1.4970,1.587
0.934,1.4667,2.238
0.956,1.5048,1.419
0.994,1.4989,1.546
1.032,1.4932,1.670
1.054,1.5110,1.284
1.090,1.5123,1.257
1.117,1.4818,1.915
1.150,1.4972,1.584
1.191,1.5019,1.482
1.213,1.5078,1.355
1.242,1.4704,2.158
1.264,1.4395,2.813
1.286,1.4782,1.992
1.310,1.5125,1.252
1.356,1.4472,2.652
1.379,1.4823,1.904
1.414,1.4740,2.080
1.438,1.4410,2.781
1.467,1.4622,2.334
1.498,1.4627,2.323
1.522,1.4399,2.805
1.545,1.4775,2.006
1.576,1.4524,2.541
1.599,1.4924,1.686
1.624,1.4485,2.623
1.664,1.4949,1.633
1.703,1.4408,2.786
1.736,1.5115,1.273
1.758,1.4640,2.294
1.786,1.5089,1.330
1.836,1.5122,1.260
1.858,1.4938,1.657
1.882,1.4500,2.591
1.912,1.5145,1.208
1.934,1.4799,1.955
1.956,1.5149,1.200
1.982,1.4602,2.376
2.004,1.4404,2.794
2.030,1.4678,2.214
2.053,1.5087,1.336
2.098,1.4552,2.482
2.120,1.4424,2.752
2.165,1.4454,2.689
2.195,1.4818,1.915
2.219,1.4430,2.739
2.243,1.4579,2.424
2.290,1.5084,1.341
2.314,1.4625,2.326
2.337,1.5035,1.446
2.375,1.4965,1.598
2.398,1.4527,2.535
2.419,1.4902,1.735
2.470,1.5148,1.203
2.492,1.4977,1.573
2.515,1.5138,1.224
2.539,1.4697,2.174
2.572,1.5073,1.365
2.594,1.5045,1.425
2.630,1.4769,2.019
2.652,1.5140,1.219
2.674,1.4917,1.702
2.703,1.4484,2.625
2.725,1.4494,2.604
2.747,1.4962,1.606
2.787,1.4409,2.784
2.809,1.4617,2.344
2.832,1.5055,1.403
2.858,1.5077,1.357
2.886,1.4769,2.019
2.908,1.5128,1.246
2.944,1.4418,2.765
2.973,1.4868,1.807
2.995,1.5150,1.197
3.029,1.4528,2.533
3.064,1.4604,2.371
3.092,1.5045,1.425
3.143,1.4623,2.331
3.166,1.4392,2.821
3.188,1.4812,1.928
3.212,1.5149,1.200
3.259,1.4464,2.668
3.285,1.4513,2.564
3.320,1.4745,2.070
3.342,1.4412,2.779
3.371,1.5093,1.322
3.403,1.4623,2.331
3.425,1.4390,2.823
3.453,1.4964,1.600
3.488,1.4867,1.810
3.523,1.4479,2.636
3.545,1.4500,2.591
3.571,1.4980,1.565
3.593,1.5128,1.246
3.627,1.4634,2.307
3.659,1.4645,2.283
3.683,1.4399,2.805
3.713,1.4975,1.576
3.738,1.4543,2.501
3.764,1.4443,2.713
3.791,1.4895,1.748
3.813,1.5158,1.181
3.836,1.4774,2.008
3.858,1.4433,2.734
3.884,1.4629,2.318
3.908,1.4399,2.805
3.937,1.5052,1.411
3.970,1.4772,2.014
4.007,1.4833,1.882
4.029,1.5133,1.235
4.061,1.4857,1.831
4.097,1.4785,1.984
4.132,1.4988,1.549
4.173,1.5034,1.449
4.205,1.4385,2.834
4.227,1.4750,2.059
4.249,1.5110,1.284
4.284,1.4424,2.752
4.306,1.4884,1.772
4.328,1.4473,2.649
4.366,1.4525,2.538
4.390,1.4990,1.544
4.412,1.5120,1.262
4.448,1.4654,2.264
4.471,1.5079,1.352
4.498,1.5015,1.490
4.528,1.4794,1.965
4.563,1.4518,2.554
4.585,1.4457,2.683
4.617,1.4808,1.936
4.639,1.4449,2.699
4.661,1.4750,2.059
4.686,1.4418,2.765
4.710,1.4657,2.259
4.735,1.5059,1.395
4.765,1.4395,2.813
4.796,1.4978,1.571
4.819,1.4527,2.535
4.865,1.4480,2.633
4.898,1.5147,1.205
4.921,1.4762,2.035
4.952,1.5004,1.514
4.977,1.5102,1.303
4.999,1.4642,2.291
5.031,1.5082,1.346
5.077,1.5117,1.271
5.106,1.4449,2.699
5.128,1.4893,1.754
5.165,1.4450,2.697
5.196,1.5134,1.233
5.219,1.4708,2.150
5.249,1.5033,1.452
5.279,1.5064,1.384
5.301,1.4594,2.392
5.333,1.5105,1.295
5.364,1.4428,2.744
5.387,1.4879,1.783
5.411,1.5138,1.224
5.451,1.4528,2.533
5.487,1.4599,2.381
5.515,1.5030,1.457
5.577,1.5013,1.495
5.620,1.4954,1.622
5.642,1.4503,2.586
5.675,1.5130,1.241
5.716,1.5135,1.230
5.740,1.4740,2.080
5.775,1.5017,1.487
5.805,1.4399,2.805
5.838,1.5023,1.473
5.886,1.4415,2.771
5.913,1.4858,1.829
5.975,1.5144,1.211
6.012,1.5117,1.271
6.058,1.5085,1.338
6.083,1.4619,2.339
6.113,1.5084,1.341
6.135,1.4969,1.589
6.158,1.5124,1.254
6.196,1.5134,1.233
6.223,1.4858,1.829
6.244,1.4453,2.691
6.284,1.5119,1.265
6.313,1.5108,1.290
6.335,1.5058,1.398
6.366,1.4392,2.821
6.393,1.4780,1.995
6.416,1.5127,1.249
6.451,1.5132,1.238
6.485,1.4475,2.644
6.538,1.4948,1.635
6.569,1.4617,2.344
6.591,1.5048,1.419
6.618,1.5063,1.387
6.653,1.4762,2.035
6.675,1.5122,1.260
6.710,1.4404,2.794
6.742,1.4868,1.807
6.765,1.4448,2.702
6.796,1.5157,1.184
6.824,1.4734,2.094
6.847,1.4467,2.662
6.873,1.4848,1.850
6.907,1.4905,1.727
6.929,1.4524,2.541
6.959,1.5040,1.436
6.996,1.4557,2.472
7.041,1.3472,4.726
7.090,1.2054,7.526
7.126,1.1312,8.927
7.149,1.0938,9.615
7.182,1.1203,9.128
7.209,1.1754,8.097
7.232,1.2287,7.078
7.269,1.1218,9.100
7.305,1.1270,9.003
7.328,1.1410,8.743
7.360,1.2797,6.080
7.401,1.3200,5.274
7.437,1.3559,4.548
7.468,1.3792,4.071
7.529,1.4148,3.332
7.555,1.4803,1.947
7.618,1.5148,1.203
7.668,1.4325,2.960
7.698,1.5069,1.373
7.720,1.4540,2.506
7.749,1.4320,2.971
7.790,1.4328,2.955
7.839,1.5168,1.159
7.874,1.5158,1.181
7.896,1.4985,1.554
7.920,1.5117,1.271
7.948,1.4642,2.291
7.976,1.5027,1.465
8.022,1.4435,2.728
8.059,1.5085,1.338
8.103,1.4434,2.731
8.134,1.4489,2.615
8.157,1.4964,1.600
8.196,1.5015,1.490
8.221,1.5073,1.365
8.252,1.4718,2.128
8.287,1.4549,2.488
8.322,1.4504,2.583
8.345,1.4445,2.707
8.377,1.4810,1.931
8.408,1.4437,2.726
8.430,1.4567,2.450
8.459,1.4669,2.232
8.501,1.4619,2.339
8.536,1.5123,1.257
8.558,1.4989,1.546
8.591,1.4863,1.818
8.627,1.4474,2.646
8.649,1.4473,2.649
8.683,1.4778,2.000
8.716,1.5070,1.371
8.763,1.4640,2.294
8.806,1.4598,2.384
8.830,1.4375,2.855
8.901,1.4780,1.995
8.930,1.4262,3.094
8.988,1.3777,4.102
9.020,1.3660,4.341
9.067,1.3027,5.623
9.089,1.2467,6.728
9.123,1.2424,6.811
9.149,1.1625,8.340
9.172,1.1370,8.818
9.210,1.1923,7.777
9.242,1.2893,5.889
9.265,1.3283,5.108
9.298,1.4864,1.815
9.324,1.4512,2.567
9.348,1.4279,3.057
9.385,1.4242,3.136
9.418,1.4863,1.818
9.440,1.5160,1.176
9.471,1.4475,2.644
9.498,1.4722,2.120
9.521,1.5107,1.292
9.551,1.4623,2.331
9.588,1.4709,2.147
9.611,1.4374,2.858
9.661,1.4505,2.580
9.701,1.5129,1.243
9.730,1.4487,2.620
9.753,1.4953,1.624
9.789,1.4399,2.805
9.826,1.4348,2.913
9.848,1.4632,2.312
9.881,1.4525,2.538
9.913,1.5134,1.233
9.935,1.4850,1.845
9.964,1.4518,2.554
9.995,1.5193,1.105
10.017,1.5005,1.511
10.050,1.4462,2.673
10.086,1.4460,2.676
10.134,1.5124,1.254
10.175,1.5160,1.176
10.201,1.4967,1.595
10.233,1.4919,1.697
10.262,1.4505,2.580
10.285,1.4822,1.907
10.316,1.5033,1.452
10.355,1.5064,1.384
10.383,1.5115,1.273
10.419,1.5054,1.406
10.444,1.4602,2.376
10.466,1.4469,2.657
10.505,1.4908,1.721
10.541,1.4859,1.826
10.563,1.4470,2.654
10.592,1.4640,2.294
10.614,1.5059,1.395
10.644,1.4394,2.815
10.674,1.4730,2.102
10.705,1.4567,2.450
10.756,1.4877,1.788
10.785,1.4460,2.676
10.840,1.4728,2.107
10.875,1.5015,1.490
10.898,1.5073,1.365
10.923,1.4617,2.344
10.945,1.4374,2.858
10.982,1.4953,1.624
11.016,1.4842,1.864
11.043,1.4487,2.620
11.098,1.4952,1.627
11.120,1.5100,1.306
11.154,1.4585,2.411
11.190,1.4669,2.232
11.218,1.5054,1.406
11.249,1.4344,2.921
11.282,1.4848,1.850
11.326,1.4797,1.960
11.372,1.4524,2.541
11.401,1.4700,2.166
11.453,1.4703,2.160
11.477,1.5109,1.287
11.510,1.4397,2.810
11.544,1.4923,1.689
11.566,1.4468,2.660
11.601,1.5107,1.292
11.632,1.4504,2.583
11.656,1.4959,1.611
11.693,1.5030,1.457
11.723,1.5083,1.344
11.746,1.4609,2.360
11.778,1.5105,1.295
11.807,1.4432,2.736
11.829,1.4517,2.557
11.863,1.4467,2.662
11.898,1.5137,1.227
11.924,1.4737,2.088
11.959,1.5009,1.503
11.995,1.5052,1.411
12.055,1.4794,1.965
12.084,1.4550,2.485
12.106,1.4888,1.764
12.128,1.4508,2.575
12.179,1.4965,1.598
12.207,1.4467,2.662
12.264,1.4655,2.262
12.290,1.4447,2.705
12.326,1.4459,2.678
12.350,1.4579,2.424
12.374,1.4492,2.609
12.413,1.4533,2.522
12.444,1.4789,1.976
12.467,1.4483,2.628
12.504,1.5060,1.392
12.534,1.4720,2.123
12.556,1.5040,1.436
12.592,1.4450,2.697
12.620,1.4903,1.732
12.642,1.5080,1.349
12.674,1.4512,2.567
12.710,1.4564,2.456
12.734,1.4962,1.606
12.770,1.4448,2.702
12.830,1.4743,2.075
12.901,1.5073,1.365
12.927,1.4504,2.583
12.956,1.4895,1.748
12.988,1.4479,2.636
13.012,1.4608,2.363
13.042,1.4680,2.208
13.072,1.4472,2.652
13.094,1.4745,2.070
13.121,1.5074,1.363
13.144,1.4940,1.651
13.167,1.4563,2.458
13.191,1.4512,2.567
13.213,1.4929,1.676
13.235,1.4578,2.427
13.257,1.4975,1.576
13.279,1.5090,1.327
13.301,1.4723,2.118
13.329,1.4470,2.654
13.360,1.5010,1.500
13.395,1.4788,1.979
13.422,1.5087,1.336
13.479,1.4898,1.743
13.501,1.5100,1.306
13.527,1.4788,1.979
13.550,1.4499,2.594
13.572,1.4675,2.219
13.596,1.5032,1.455
13.619,1.5049,1.417
13.642,1.4638,2.299
13.669,1.4485,2.623
13.697,1.4847,1.853
13.725,1.4550,2.485
