Time,Voltage,Force
0.013,1.4629,2.318
0.055,1.5295,0.882
0.077,1.4870,1.802
0.103,1.5340,0.783
0.142,1.5345,0.773
0.164,1.5198,1.094
0.185,1.4722,2.120
0.216,1.4607,2.366
0.239,1.5172,1.151
0.277,1.5242,0.999
0.311,1.4609,2.360
0.333,1.4862,1.821
0.359,1.5334,0.797
0.385,1.5309,0.852
0.410,1.4795,1.963
0.442,1.5387,0.682
0.474,1.4624,2.328
0.499,1.5157,1.184
0.524,1.5448,0.548
0.547,1.5013,1.495
0.581,1.5275,0.925
0.603,1.5402,0.649
0.626,1.4875,1.791
0.660,1.5365,0.729
0.682,1.5269,0.939
0.706,1.4749,2.062
0.735,1.4615,2.347
0.757,1.5137,1.227
0.785,1.5433,0.581
0.808,1.5025,1.468
0.833,1.4617,2.344
0.858,1.4813,1.925
0.886,1.4880,1.780
0.910,1.4599,2.381
0.932,1.4835,1.877
0.954,1.4607,2.366
0.982,1.5218,1.051
1.020,1.5125,1.252
1.056,1.5179,1.135
1.084,1.5373,0.712
1.108,1.4960,1.608
1.135,1.4600,2.379
1.159,1.4875,1.791
1.191,1.4823,1.904
1.213,1.4598,2.384
1.236,1.5038,1.441
1.271,1.4714,2.136
1.294,1.4650,2.272
1.319,1.5174,1.146
1.345,1.5408,0.636
1.382,1.5358,0.745
1.409,1.4898,1.743
1.446,1.4839,1.869
1.468,1.5307,0.857
1.498,1.5014,1.492
1.531,1.4728,2.107
1.556,1.4620,2.336
1.593,1.4694,2.179
1.620,1.5219,1.048
1.646,1.5407,0.638
1.698,1.5317,0.835
1.722,1.5319,0.830
1.745,1.5370,0.718
1.768,1.5265,0.947
1.791,1.4749,2.062
1.814,1.4630,2.315
1.850,1.5093,1.322
1.872,1.4653,2.267
1.894,1.4749,2.062
1.917,1.5254,0.972
1.940,1.5367,0.726
1.963,1.5270,0.936
1.990,1.5324,0.819
2.013,1.4803,1.947
2.044,1.5402,0.649
2.067,1.5184,1.124
2.092,1.4682,2.206
2.128,1.4654,2.264
2.168,1.4612,2.355
2.193,1.4800,1.952
2.219,1.5292,0.890
2.243,1.5352,0.759
2.296,1.4577,2.429
2.326,1.5183,1.127
2.377,1.4658,2.256
2.400,1.5173,1.148
2.439,1.5230,1.023
2.479,1.5287,0.901
2.517,1.4558,2.469
2.570,1.4768,2.022
2.602,1.5412,0.627
2.626,1.5142,1.216
2.658,1.5160,1.176
2.684,1.5430,0.586
2.707,1.4979,1.568
2.730,1.4597,2.387
2.762,1.5362,0.737
2.792,1.4845,1.856
2.848,1.5244,0.993
2.870,1.4723,2.118
2.900,1.5409,0.633
2.930,1.5085,1.338
2.953,1.4628,2.320
2.985,1.5369,0.721
3.010,1.4917,1.702
3.033,1.4560,2.464
3.064,1.5309,0.852
3.086,1.5359,0.742
3.114,1.4593,2.395
3.143,1.5062,1.390
3.165,1.5410,0.630
3.188,1.5084,1.341
3.213,1.4654,2.264
3.239,1.4722,2.120
3.270,1.4937,1.659
3.304,1.5295,0.882
3.333,1.4588,2.405
3.357,1.4974,1.579
3.390,1.4755,2.048
3.412,1.4625,2.326
3.439,1.5112,1.281
3.471,1.4653,2.267
3.494,1.4730,2.102
3.520,1.5234,1.015
3.544,1.5402,0.649
3.584,1.5342,0.781
3.607,1.4815,1.920
3.646,1.5380,0.696
3.682,1.5414,0.622
3.705,1.5133,1.235
3.735,1.4672,2.227
3.764,1.5420,0.608
3.796,1.4779,1.998
3.847,1.5367,0.726
3.901,1.5357,0.748
3.936,1.4612,2.355
3.965,1.5145,1.208
3.993,1.4657,2.259
4.024,1.5414,0.622
4.050,1.4992,1.541
4.089,1.4915,1.705
4.115,1.4590,2.400
4.139,1.4915,1.705
4.165,1.5345,0.773
4.190,1.5245,0.991
4.214,1.4748,2.064
4.242,1.5410,0.630
4.276,1.4665,2.240
4.304,1.5195,1.100
4.330,1.4609,2.360
4.361,1.4804,1.944
4.402,1.4908,1.721
4.446,1.5260,0.958
4.476,1.4752,2.056
4.520,1.5107,1.292
4.547,1.5400,0.652
4.580,1.4719,2.126
4.607,1.5245,0.991
4.630,1.4593,2.395
4.660,1.4868,1.807
4.699,1.4958,1.614
4.724,1.5382,0.693
