Time,Voltage,Force
0.023,1.4608,2.363
0.049,1.4964,1.600
0.078,1.4314,2.984
0.102,1.4734,2.094
0.137,1.4375,2.855
0.170,1.5000,1.522
0.192,1.4647,2.280
0.220,1.4328,2.955
0.242,1.4575,2.432
0.264,1.4317,2.979
0.287,1.4643,2.288
0.321,1.4695,2.176
0.348,1.5008,1.506
0.375,1.4743,2.075
0.399,1.4369,2.868
0.433,1.5008,1.506
0.481,1.4314,2.984
0.523,1.4310,2.992
0.554,1.4868,1.807
0.577,1.4430,2.739
0.604,1.4352,2.905
0.657,1.4345,2.918
0.679,1.4470,2.654
0.708,1.4883,1.775
0.738,1.4315,2.981
0.760,1.4608,2.363
0.784,1.4309,2.994
0.817,1.4337,2.937
0.839,1.4428,2.744
0.887,1.4799,1.955
0.928,1.4857,1.831
0.971,1.4573,2.437
0.999,1.4325,2.960
1.022,1.4633,2.310
1.054,1.4459,2.678
1.086,1.5008,1.506
1.127,1.5015,1.490
1.151,1.4675,2.219
1.173,1.5005,1.511
1.197,1.4623,2.331
1.222,1.4310,2.992
1.245,1.4588,2.405
1.279,1.4499,2.594
1.307,1.4994,1.536
1.341,1.4359,2.889
1.372,1.4734,2.094
1.397,1.4359,2.889
1.423,1.4468,2.660
1.448,1.4885,1.770
1.470,1.4963,1.603
1.503,1.4609,2.360
1.540,1.4674,2.222
1.563,1.4327,2.958
1.593,1.4768,2.022
1.629,1.4803,1.947
1.677,1.4634,2.307
1.712,1.4572,2.440
1.741,1.4312,2.989
1.763,1.4634,2.307
1.790,1.4992,1.541
1.827,1.5013,1.495
1.861,1.4379,2.847
1.888,1.4824,1.901
1.923,1.4873,1.797
1.945,1.4498,2.596
1.981,1.4574,2.435
2.003,1.4969,1.589
2.028,1.4873,1.797
2.052,1.4439,2.720
2.076,1.4812,1.928
2.099,1.4392,2.821
2.121,1.4390,2.823
2.148,1.4848,1.850
2.172,1.4992,1.541
2.195,1.4584,2.413
2.234,1.4522,2.546
2.260,1.4308,2.997
2.285,1.4673,2.224
2.320,1.4714,2.136
2.342,1.4348,2.913
2.365,1.4797,1.960
2.389,1.5017,1.487
2.417,1.4647,2.280
2.439,1.4314,2.984
2.482,1.4302,3.010
2.512,1.4897,1.745
2.535,1.4457,2.683
2.569,1.4997,1.530
2.595,1.4763,2.032
2.619,1.4370,2.866
2.650,1.4997,1.530
2.672,1.4625,2.326
2.698,1.4314,2.984
2.730,1.4924,1.686
2.753,1.4504,2.583
2.776,1.4315,2.981
2.806,1.4712,2.142
2.838,1.4402,2.800
2.860,1.4387,2.831
2.893,1.4657,2.259
2.928,1.4885,1.770
2.955,1.4318,2.976
3.012,1.4487,2.620
3.034,1.4850,1.845
3.060,1.4737,2.088
3.090,1.5018,1.484
3.113,1.4712,2.142
3.142,1.4844,1.858
3.166,1.4989,1.546
3.188,1.4894,1.751
3.225,1.4938,1.657
3.252,1.4888,1.764
3.291,1.4823,1.904
3.318,1.4427,2.747
3.341,1.4373,2.860
3.367,1.4809,1.933
3.400,1.4344,2.921
3.428,1.4979,1.568
3.467,1.4934,1.665
3.522,1.4319,2.973
3.544,1.4709,2.147
3.568,1.5005,1.511
3.599,1.4390,2.823
3.644,1.4454,2.689
3.691,1.4969,1.589
3.730,1.4922,1.692
3.767,1.4863,1.818
3.823,1.4362,2.884
3.864,1.5004,1.514
3.910,1.4988,1.549
3.950,1.4943,1.646
3.977,1.4512,2.567
4.051,1.5004,1.514
4.089,1.5008,1.506
4.112,1.4702,2.163
4.145,1.4859,1.826
4.168,1.4998,1.527
4.194,1.4560,2.464
4.230,1.4497,2.599
4.256,1.4894,1.751
4.280,1.4704,2.158
4.305,1.5009,1.503
4.340,1.4379,2.847
4.391,1.5002,1.519
4.424,1.4523,2.543
4.447,1.4922,1.692
4.477,1.4298,3.018
4.506,1.4670,2.230
4.529,1.4990,1.544
4.553,1.4797,1.960
4.585,1.4794,1.965
4.610,1.5012,1.498
4.635,1.4650,2.272
4.667,1.4900,1.737
4.718,1.4333,2.944
4.750,1.4483,2.628
4.798,1.4422,2.757
4.837,1.4390,2.823
4.862,1.4413,2.776
4.890,1.4623,2.331
4.928,1.4892,1.756
4.965,1.4940,1.651
4.996,1.4315,2.981
5.022,1.4689,2.190
5.047,1.4998,1.527
5.072,1.4750,2.059
5.096,1.4382,2.842
5.121,1.4443,2.713
5.149,1.4599,2.381
5.172,1.4979,1.568
5.202,1.4582,2.419
5.245,1.4653,2.267
5.280,1.4719,2.126
5.318,1.5018,1.484
5.350,1.5009,1.503
5.373,1.4660,2.251
5.403,1.4883,1.775
5.432,1.4959,1.611
5.455,1.4533,2.522
5.479,1.4310,2.992
5.513,1.4847,1.853
5.536,1.4432,2.736
5.562,1.5018,1.484
5.610,1.5012,1.498
5.636,1.4632,2.312
5.673,1.4569,2.445
5.704,1.4942,1.649
5.744,1.4964,1.600
5.773,1.4819,1.912
5.796,1.4422,2.757
5.828,1.5023,1.473
5.851,1.4695,2.176
5.879,1.4340,2.929
5.904,1.4979,1.568
5.936,1.4555,2.474
5.960,1.4304,3.005
6.008,1.4984,1.557
6.067,1.4720,2.123
6.094,1.4372,2.863
6.121,1.4443,2.713
6.148,1.4895,1.748
6.175,1.4324,2.963
6.198,1.4590,2.400
6.234,1.4473,2.649
6.270,1.4425,2.750
6.295,1.4344,2.921
6.326,1.4783,1.990
6.349,1.5027,1.465
6.373,1.4647,2.280
6.399,1.4333,2.944
6.447,1.4937,1.659
6.481,1.4978,1.571
6.526,1.5009,1.503
6.561,1.4362,2.884
6.592,1.4704,2.158
6.617,1.4328,2.955
6.647,1.5008,1.506
6.675,1.4547,2.493
6.698,1.4230,3.160
6.728,1.4884,1.772
6.757,1.4604,2.371
6.796,1.4138,3.353
6.852,1.4299,3.015
6.896,1.3775,4.105
