Time,Voltage,Force
0.016,1.4570,2.443
0.051,1.5313,0.844
0.084,1.4624,2.328
0.122,1.4715,2.134
0.163,1.4804,1.944
0.187,1.5253,0.974
0.212,1.5089,1.330
0.243,1.4983,1.560
0.266,1.4518,2.554
0.294,1.4892,1.756
0.317,1.4467,2.662
0.351,1.5237,1.010
0.373,1.4733,2.096
0.397,1.4437,2.726
0.422,1.4810,1.931
0.452,1.5252,0.977
0.477,1.5039,1.438
0.513,1.4945,1.641
0.535,1.4507,2.578
0.566,1.4597,2.387
0.591,1.5118,1.268
0.613,1.5220,1.045
0.638,1.4700,2.166
0.664,1.4428,2.744
0.689,1.5094,1.319
0.712,1.5264,0.950
0.741,1.4524,2.541
0.766,1.5060,1.392
0.789,1.5334,0.797
0.826,1.4685,2.198
0.860,1.4782,1.992
0.894,1.4749,2.062
0.925,1.5293,0.887
0.948,1.4948,1.635
0.971,1.5329,0.808
1.016,1.4583,2.416
1.039,1.4637,2.302
1.074,1.4877,1.788
1.103,1.4520,2.549
1.127,1.4809,1.933
1.157,1.4738,2.086
1.183,1.4500,2.591
1.238,1.4623,2.331
1.260,1.4593,2.395
1.287,1.5119,1.265
1.317,1.4535,2.517
1.340,1.4749,2.062
1.369,1.5228,1.029
1.405,1.5278,0.920
1.428,1.5153,1.192
1.458,1.4633,2.310
1.489,1.5283,0.909
1.512,1.4919,1.697
1.540,1.4488,2.617
1.571,1.5235,1.013
1.600,1.4727,2.110
1.632,1.4682,2.206
1.666,1.5233,1.018
1.699,1.4464,2.668
1.746,1.4507,2.578
1.770,1.4879,1.783
1.797,1.4485,2.623
1.820,1.4658,2.256
1.850,1.5155,1.186
1.881,1.4443,2.713
1.903,1.4835,1.877
1.930,1.5220,1.045
1.963,1.4490,2.612
1.989,1.4967,1.595
2.029,1.5068,1.376
2.052,1.5277,0.923
2.076,1.4800,1.952
2.104,1.5189,1.113
2.127,1.5177,1.140
2.170,1.5093,1.322
2.192,1.4605,2.368
2.219,1.5023,1.473
2.248,1.5017,1.487
2.274,1.4502,2.588
2.296,1.4848,1.850
2.333,1.4765,2.027
2.364,1.5200,1.089
2.388,1.5145,1.208
2.413,1.4632,2.312
2.456,1.4575,2.432
2.481,1.4519,2.551
2.509,1.5043,1.430
2.533,1.4493,2.607
2.560,1.4663,2.246
2.587,1.5168,1.159
2.612,1.5195,1.100
2.638,1.4674,2.222
2.671,1.4615,2.347
2.694,1.5048,1.419
2.724,1.4990,1.544
2.750,1.5298,0.876
2.772,1.4874,1.794
2.801,1.4480,2.633
2.830,1.5244,0.993
2.857,1.4724,2.115
2.880,1.4450,2.697
2.909,1.5108,1.290
2.932,1.4599,2.381
2.964,1.5279,0.917
2.987,1.5015,1.490
3.010,1.5280,0.914
3.033,1.4855,1.834
3.062,1.5143,1.214
3.086,1.5214,1.059
3.114,1.4688,2.192
3.144,1.5235,1.013
3.168,1.5070,1.371
3.193,1.4578,2.427
3.234,1.4527,2.535
3.275,1.4484,2.625
3.298,1.4659,2.254
3.321,1.5157,1.184
3.346,1.4750,2.059
3.375,1.4683,2.203
3.417,1.4617,2.344
3.447,1.5265,0.947
3.481,1.4554,2.477
3.508,1.5069,1.373
3.536,1.4495,2.602
3.565,1.4732,2.099
3.587,1.5195,1.100
3.616,1.4468,2.660
3.646,1.4892,1.756
