Time,Voltage,Force
0.018,1.4759,2.040
0.043,1.4495,2.602
0.070,1.4838,1.872
0.100,1.4643,2.288
0.123,1.4508,2.575
0.145,1.4970,1.587
0.166,1.4569,2.445
0.189,1.5020,1.479
0.216,1.5213,1.062
0.242,1.4805,1.941
0.282,1.4729,2.104
0.308,1.5132,1.238
0.331,1.4808,1.936
0.357,1.4615,2.347
0.381,1.4514,2.562
0.407,1.4953,1.624
0.429,1.4558,2.469
0.454,1.4883,1.775
0.482,1.4524,2.541
0.514,1.5178,1.138
0.558,1.5138,1.224
0.580,1.4677,2.216
0.612,1.5167,1.162
0.641,1.4504,2.583
0.665,1.4583,2.416
0.696,1.5204,1.081
0.718,1.4875,1.791
0.745,1.4508,2.575
0.784,1.4479,2.636
0.808,1.4740,2.080
0.831,1.5132,1.238
0.861,1.4470,2.654
0.890,1.4872,1.799
0.913,1.5188,1.116
0.941,1.4527,2.535
0.964,1.4552,2.482
0.988,1.4598,2.384
1.016,1.4784,1.987
1.040,1.4485,2.623
1.066,1.4728,2.107
1.093,1.5130,1.241
1.129,1.5162,1.173
1.151,1.4868,1.807
1.175,1.5187,1.119
1.210,1.5199,1.091
1.235,1.4863,1.818
1.277,1.4804,1.944
1.330,1.4738,2.086
1.356,1.5132,1.238
1.381,1.4490,2.612
1.403,1.4645,2.283
1.426,1.4498,2.596
1.448,1.4947,1.638
1.476,1.5224,1.037
1.510,1.4600,2.379
1.542,1.4804,1.944
1.564,1.4499,2.594
1.589,1.4739,2.083
1.625,1.4805,1.941
1.652,1.5159,1.178
1.677,1.5007,1.509
1.706,1.4588,2.405
1.742,1.4555,2.474
1.769,1.4607,2.366
1.795,1.4803,1.947
1.844,1.4754,2.051
1.875,1.5147,1.205
1.898,1.5080,1.349
1.927,1.4885,1.770
1.949,1.5219,1.048
1.972,1.4958,1.614
1.995,1.5217,1.053
2.018,1.4872,1.799
2.047,1.5060,1.392
2.075,1.5182,1.129
2.128,1.4480,2.633
2.154,1.5084,1.341
2.186,1.4878,1.786
2.220,1.4587,2.408
2.245,1.4549,2.488
2.304,1.4505,2.580
2.343,1.4488,2.617
2.369,1.4739,2.083
2.392,1.5147,1.205
2.415,1.5074,1.363
2.452,1.4874,1.794
2.491,1.4934,1.665
2.520,1.4530,2.527
2.571,1.5047,1.422
2.594,1.5160,1.176
2.620,1.4732,2.099
2.646,1.4468,2.660
2.669,1.4805,1.941
2.699,1.4619,2.339
2.721,1.4500,2.591
2.755,1.4944,1.643
2.789,1.5005,1.511
2.819,1.4485,2.623
2.845,1.4753,2.054
2.873,1.5095,1.317
2.899,1.5122,1.260
2.927,1.4813,1.925
2.956,1.5187,1.119
2.980,1.4998,1.527
3.009,1.4940,1.651
3.033,1.5209,1.070
3.056,1.4853,1.839
3.078,1.5198,1.094
3.101,1.4794,1.965
3.129,1.5098,1.311
3.169,1.5145,1.208
3.193,1.5059,1.395
3.216,1.4610,2.358
3.267,1.4947,1.638
3.304,1.4528,2.533
3.328,1.4598,2.384
3.356,1.4772,2.014
3.382,1.4483,2.628
3.405,1.4740,2.080
3.439,1.4653,2.267
3.462,1.4487,2.620
3.487,1.4889,1.762
3.519,1.4560,2.464
3.541,1.4562,2.461
3.568,1.5008,1.506
3.601,1.4490,2.612
3.631,1.5167,1.162
3.654,1.5099,1.308
3.681,1.5109,1.287
3.710,1.4823,1.904
3.733,1.5192,1.108
3.755,1.5000,1.522
3.778,1.4585,2.411
3.821,1.4523,2.543
3.851,1.5184,1.124
3.874,1.5063,1.387
3.900,1.4475,2.644
3.930,1.4767,2.024
3.953,1.5144,1.211
3.982,1.4475,2.644
4.030,1.4514,2.562
4.061,1.4900,1.737
4.104,1.4620,2.336
4.144,1.4695,2.176
4.166,1.4465,2.665
4.195,1.5100,1.306
4.218,1.4643,2.288
4.240,1.5048,1.419
4.266,1.4922,1.692
4.292,1.5213,1.062
4.318,1.4892,1.756
4.347,1.5022,1.476
4.388,1.5072,1.368
4.423,1.4468,2.660
4.446,1.4765,2.027
4.475,1.5157,1.184
4.505,1.4489,2.615
4.532,1.4903,1.732
4.560,1.4560,2.464
4.589,1.4577,2.429
4.628,1.4637,2.302
4.653,1.5078,1.355
4.689,1.5109,1.287
4.714,1.5094,1.319
4.737,1.4658,2.256
4.774,1.5184,1.124
4.798,1.4955,1.619
4.823,1.4542,2.504
4.862,1.4499,2.594
4.892,1.5174,1.146
4.915,1.4738,2.086
4.953,1.5109,1.287
4.982,1.4479,2.636
5.009,1.4854,1.837
5.036,1.5177,1.140
5.060,1.4943,1.646
5.083,1.4535,2.517
5.111,1.5187,1.119
5.134,1.4807,1.939
5.159,1.5173,1.148
5.181,1.4739,2.083
5.215,1.5134,1.233
5.249,1.5170,1.154
5.272,1.4863,1.818
5.299,1.4584,2.413
5.326,1.4537,2.514
5.357,1.4885,1.770
5.386,1.4505,2.580
5.411,1.5175,1.143
5.434,1.5117,1.271
5.456,1.5142,1.216
5.479,1.4682,2.206
5.502,1.4494,2.604
5.525,1.4895,1.748
5.549,1.5204,1.081
5.572,1.4965,1.598
5.595,1.5214,1.059
5.632,1.5188,1.116
5.660,1.4774,2.008
5.682,1.4484,2.625
5.705,1.4765,2.027
5.729,1.5157,1.184
5.752,1.5078,1.355
5.775,1.5203,1.083
5.797,1.4999,1.525
5.821,1.4578,2.427
5.844,1.4572,2.440
5.867,1.5029,1.460
5.890,1.5217,1.053
5.913,1.5084,1.341
5.936,1.5175,1.143
5.959,1.4728,2.107
5.981,1.4480,2.633
6.006,1.4847,1.853
6.030,1.5205,1.078
6.052,1.4988,1.549
6.078,1.4567,2.450
6.114,1.5219,1.048
6.140,1.4849,1.848
6.163,1.4494,2.604
6.186,1.4709,2.147
6.216,1.4728,2.107
6.242,1.4512,2.567
6.266,1.4892,1.756
6.289,1.5230,1.023
6.318,1.5003,1.517
6.346,1.5035,1.446
6.378,1.4558,2.469
6.414,1.5238,1.007
6.439,1.4783,1.990
6.462,1.4505,2.580
6.492,1.5142,1.216
6.516,1.4678,2.214
6.539,1.5070,1.371
6.563,1.4632,2.312
6.593,1.5255,0.969
6.617,1.4917,1.702
6.653,1.5099,1.308
6.687,1.5148,1.203
6.710,1.4775,2.006
6.734,1.5189,1.113
6.764,1.4473,2.649
6.786,1.4915,1.705
6.810,1.5244,0.993
6.833,1.4980,1.565
6.858,1.4552,2.482
6.894,1.5257,0.966
6.917,1.4807,1.939
6.940,1.4469,2.657
6.962,1.4725,2.112
6.985,1.4299,3.015
7.008,1.4473,2.649
7.031,1.4672,2.227
7.057,1.3820,4.012
7.080,1.3049,5.578
7.109,1.3192,5.292
7.153,1.3753,4.151
7.177,1.3343,4.987
7.200,1.2945,5.785
7.233,1.3809,4.035
7.274,1.3668,4.325
7.302,1.3344,4.984
7.341,1.3309,5.055
7.366,1.3302,5.070
7.395,1.3914,3.818
7.429,1.4733,2.096
7.463,1.4288,3.039
7.497,1.5052,1.411
7.526,1.4819,1.912
7.585,1.4494,2.604
7.627,1.4563,2.458
7.656,1.4813,1.925
7.680,1.4467,2.662
7.709,1.4725,2.112
7.738,1.4664,2.243
7.765,1.4445,2.707
7.800,1.5024,1.471
7.827,1.4920,1.694
